Hash: 912B706D, Key: button1, Value: Bottom action button
Hash: 6E5A29D3, Key: KeyPrompt_F12, Value: F twelve
Hash: 6E5A29D4, Key: KeyPrompt_F13, Value: F thirteen
Hash: 6E5A29D5, Key: KeyPrompt_F14, Value: F fourteen
Hash: 6E5A29D6, Key: KeyPrompt_F15, Value: F fifteen
Hash: 8EFAF982, Key: KeyPrompt_F2, Value: F 2
Hash: 8EFAF983, Key: KeyPrompt_F3, Value: F 3
Hash: 8EFAF984, Key: KeyPrompt_F4, Value: F 4
Hash: 8EFAF985, Key: KeyPrompt_F5, Value: F 5
Hash: 8EFAF986, Key: KeyPrompt_F6, Value: F 6
Hash: 8EFAF987, Key: KeyPrompt_F7, Value: F 7
Hash: 8EFAF988, Key: KeyPrompt_F8, Value: f 8
Hash: 8EFAF989, Key: KeyPrompt_F9, Value: F 9
Hash: 13D90F51, Key: KeyPrompt_G, Value: G
Hash: 6DC27F3F, Key: KeyPrompt_Grave, Value: Grave
Hash: 13D90F52, Key: KeyPrompt_H, Value: H
Hash: 39A18CB3, Key: KeyPrompt_Home, Value: Home key
Hash: 13D90F53, Key: KeyPrompt_I, Value: I Key
Hash: 2A7DEEFF, Key: KeyPrompt_Insert, Value: Insert key
Hash: 13D90F54, Key: KeyPrompt_J, Value: J
Hash: 13D90F55, Key: KeyPrompt_K, Value: K
Hash: 13D90F56, Key: KeyPrompt_L, Value: L
Hash: EB2EDE31, Key: KeyPrompt_BracketLeft, Value: Left bracket
Hash: 399EE4BF, Key: KeyPrompt_Ctrl, Value: Control key
Hash: 39A392D5, Key: KeyPrompt_Left, Value: Left arrow
Hash: 6E5A1C6B, Key: KeyPrompt_Alt, Value: Alt key
Hash: 6E964988, Key: KeyPrompt_Shift, Value: Shift key
Hash: 13D90F57, Key: KeyPrompt_M, Value: M
Hash: 6E2A5A16, Key: KeyPrompt_Minus, Value: Minus sign
Hash: 0001D9DB, Key: lmb, Value: Left mouse button
Hash: 0001F361, Key: rmb, Value: Right mouse button
Hash: 0001DE1C, Key: mmb, Value: Middle mouse button
Hash: 33E5FC67, Key: KeyPrompt_Mouse4, Value: Mouse button 4
Hash: 33E5FC68, Key: KeyPrompt_Mouse5, Value: Mouse button 5
Hash: 017D55A5, Key: KeyPrompt_ScrollWheel_Down, Value: Mousewheel scroll down
Hash: 4BB25012, Key: KeyPrompt_ScrollWheel_Up, Value: Mousewheel scroll up
Hash: 39A7A8A4, Key: KeyPrompt_Star, Value: Multiply sign
Hash: 13D90F58, Key: KeyPrompt_N, Value: N
Hash: 32C7CCBF, Key: KeyPrompt_PageDown, Value: Page down key
Hash: 13D90F59, Key: KeyPrompt_O, Value: O
Hash: 13D90F5A, Key: KeyPrompt_P, Value: P
Hash: 39E038AC, Key: KeyPrompt_PageUp, Value: Page up key
Hash: 13D90F5B, Key: KeyPrompt_Q, Value: Q
Hash: 13D90F5C, Key: KeyPrompt_R, Value: R
Hash: 51796C04, Key: KeyPrompt_BracketRight, Value: Right bracket
Hash: 6D9C6B68, Key: KeyPrompt_Enter, Value: Enter key
Hash: 6E84B528, Key: KeyPrompt_Right, Value: Right arrow
Hash: 13D90F5D, Key: KeyPrompt_S, Value: S
Hash: 715DD373, Key: KeyPrompt_Semicolon, Value: Semicolon
Hash: 6E9A8A16, Key: KeyPrompt_Space, Value: Spacebar
Hash: 13D90F5E, Key: KeyPrompt_T, Value: T
Hash: 6E5A6BC1, Key: KeyPrompt_Tab, Value: Tab key
Hash: 13D90F5F, Key: KeyPrompt_U, Value: U
Hash: 8EFAFBAF, Key: KeyPrompt_Up, Value: Up arrow
Hash: 13D90F60, Key: KeyPrompt_V, Value: V
Hash: 13D90F61, Key: KeyPrompt_W, Value: W
Hash: 13D90F62, Key: KeyPrompt_X, Value: X
Hash: 13D90F63, Key: KeyPrompt_Y, Value: Y
Hash: 13D90F64, Key: KeyPrompt_Z, Value: Z
Hash: A2FFF883, Key: checkbox_on, Value: Enabled
Hash: 02FF0841, Key: checkbox_off, Value: Disabled
Hash: 003A6186, Key: gold, Value: Gold
Hash: 52F02290, Key: Shards_Of_Hatred, Value: Red Dust
Hash: F681EC8C, Key: GamblingCurrency, Value: Obols
Hash: C2F2D946, Key: button1_xb, Value: A button
Hash: C2F2D84F, Key: button1_ps, Value: Cross button
Hash: C2F365A7, Key: button2_xb, Value: B button
Hash: C2F364B0, Key: button2_ps, Value: Circle button
Hash: C2F3F208, Key: button3_xb, Value: X button
Hash: C2F3F111, Key: button3_ps, Value: Square button
Hash: C2F47E69, Key: button4_xb, Value: Y button
Hash: C2F47D72, Key: button4_ps, Value: Triangle button
Hash: 082B6B05, Key: r1_ps, Value: R1 button
Hash: 07BED7FF, Key: l1_ps, Value: L1 button
Hash: 07BF6460, Key: l2_ps, Value: L2 button
Hash: 082BF766, Key: r2_ps, Value: R2 button
Hash: 4E054F2D, Key: ClassIcon_Barb_Small, Value: Barbarian
Hash: 840D640E, Key: ClassIcon_Druid_Small, Value: Druid
Hash: F174400D, Key: ClassIcon_Necro_Small, Value: Necromancer
Hash: C441A378, Key: ClassIcon_Rogue_Small, Value: Rogue
Hash: 3E815D2D, Key: ClassIcon_Sorc_Small, Value: Sorcerer
Hash: 8A856F38, Key: KeyPrompt_ShiftShort, Value: Shift key
Hash: 086249AE, Key: start, Value: Start button
Hash: 35F3BB34, Key: ItemIcon_Hibernal_Proofs, Value: Midwinter Proofs
Hash: CE8ABCB6, Key: social_tab_icon_clan, Value: Clan Members
Hash: 174068E3, Key: Social_Tab_Icon_Friends, Value: Friends List
Hash: 9F9F4E52, Key: Social_Tab_Icon_Sanctuary, Value: Local Players
Hash: DBA073A9, Key: Social_Tab_Icon_XboxLive, Value: Xbox Live Friends
Hash: BB04806B, Key: Social_Tab_Icon_PSLive, Value: PSN Friends
Hash: 9FDE8857, Key: Social_Tab_Icon_Cedar, Value: Steam Friends
Hash: 90E9EE23, Key: SeasonUpgrade_Currency_Icon, Value: Smoldering Ashes
Hash: EFE6480D, Key: New_Indicator_Secondary, Value: New indicator
Hash: 8E4388F6, Key: icon_worldtier_3, Value: World Tier 3
Hash: 8E4388F7, Key: icon_worldtier_4, Value: World Tier 4
Hash: 75202546, Key: questlog_journal_all, Value: All quests
Hash: 0BA447E5, Key: social_local, Value: Local Chat
Hash: 1255061C, Key: social_voicechat_group, Value: Voice Chat
Hash: C4B8E55C, Key: social_whisper, Value: Whisper
Hash: 0C25E69B, Key: social_story, Value: Story Chat
Hash: 28BC4572, Key: icon_network, Value: Network
Hash: 301E064A, Key: currency_PaleMarks, Value: Pale Mark
Hash: CE44D92E, Key: MercSkill_Icon, Value: Mercenary Skill Point
Hash: 80C01051, Key: ClassIcon_Spirit_Small, Value: Spiritborn
Hash: D314EFBB, Key: icon_rewardmat_palemark, Value: Pale Mark
Hash: 257FADE2, Key: ItemCategory_BossSummon, Value: Boss Summoning
Hash: EF4160E5, Key: ItemCategory__Rune, Value: Runes
Hash: 6AE76229, Key: ItemCategory_CraftingMaterial, Value: Crafting Materials
Hash: DC27034C, Key: ItemCategory_Aspect, Value: Aspects
Hash: 4524E084, Key: ItemCategory_Equipment, Value: Equipment
