Hash: 9287060F, Key: SendMessage, Value: Send Message
Hash: 21E8A8D9, Key: GroupOptionSubMenu_Disband, Value: Disband Community
Hash: 0789D135, Key: Guild, Value: Clan
Hash: C3BEBA0A, Key: DisbandGuild, Value: Disband Clan
Hash: DF668D1F, Key: AcceptInvite, Value: Accept Invite
Hash: 3F775E23, Key: DeclineInvite, Value: Decline Invite
Hash: DD0E6143, Key: DeclineInviteAndReportSpam, Value: Report Spam
Hash: 176E1D7D, Key: DeclineRequestAndReportSpam, Value: Report Spam
Hash: 68D56750, Key: OpenClanScreen, Value: News
Hash: B43A3B3A, Key: ViewRoster, Value: Roster
Hash: 9888BDEC, Key: ViewSettings, Value: Settings
Hash: C32B11BF, Key: OpenGroupScreen, Value: News
Hash: 0040F8F1, Key: Spam, Value: Spam
Hash: 003DAC93, Key: More, Value: More
Hash: 472B8DFB, Key: ReportClanName, Value: Inappropriate Clan Name
Hash: CE489DEA, Key: ReportGroupName, Value: Inappropriate Community Name
Hash: 91441EDE, Key: ReportInappropriateDescription, Value: Inappropriate Description
Hash: EF2FDE92, Key: GroupOptionSubMenu_NoActions, Value: No actions available.
Hash: 953D0623, Key: ViewLeaderboards, Value: View Leaderboards
