Hash: 2C678208, Key: WeaponCategory, Value: Main Hand
Hash: E44C073E, Key: ClanFriendsInClan, Value: Azmodan, Cassia, Chromie, Falstad, Fenix, Gall, Greymane, Gul'dan
Hash: 0CD1AF75, Key: ph_map, Value: Journal not showing whilst collapsed is a known issue. 
Hash: 956A5584, Key: AssignSkill, Value: {hotkey:Skills} to assign skills
Hash: 60B6C999, Key: lan_korean_test, Value: 로봇마술사
Hash: 1B46E45D, Key: UnlockRequirement, Value: Unlocks at {s1}
Hash: 23FE39EE, Key: HeaderText, Value: HeaderText
Hash: 38668F18, Key: SubheaderText, Value: Subheader Text
Hash: 6402F214, Key: FooterText, Value: Footer Text
Hash: F2F38E96, Key: RequirementText, Value: Requirement Text
Hash: 001BB116, Key: 100%, Value: 100%
Hash: 367DDD77, Key: 9999/9999, Value: 9999/9999
Hash: 0072892A, Key: NewLabel, Value: 
Hash: D60DE52E, Key: Credits, Value: {c:FFe3e0d9}CREDITS PLACEHOLDER{/c}
{c:FFba1916}Diablo IV{/c}

{c:FFdba864}DEPARTMENT{/c}
{c:FFe2cfb1}Placeholder Name{/c}

{c:FFdba864}DEPARTMENT{/c}
{c:FFe2cfb1}Placeholder Name{/c}

{c:FFdba864}DEPARTMENT{/c}
{c:FFe2cfb1}Placeholder Name{/c}

{c:FFdba864}DEPARTMENT{/c}
{c:FFe2cfb1}Placeholder Name{/c}

{c:FFdba864}DEPARTMENT{/c}
{c:FFe2cfb1}Placeholder Name{/c}

{c:FFdba864}DEPARTMENT{/c}
{c:FFe2cfb1}Placeholder Name{/c}

{c:FFdba864}DEPARTMENT{/c}
{c:FFe2cfb1}Placeholder Name{/c}

{c:FFdba864}DEPARTMENT{/c}
{c:FFe2cfb1}Placeholder Name{/c}



Hash: 911BF786, Key: CreditsPH, Value: {c:FFe3e0d9}CREDITS PLACEHOLDER{/c}
{c:FFba1916}Diablo IV{/c}
Hash: 9B3DBC4F, Key: AffixRandom, Value: +1000 Random Affix Name Comes Here
Hash: 9FB4AE96, Key: ClanTeset_MotD, Value: WWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWW
Hash: 086E8B61, Key: timer, Value: 12h 45m 45s
Hash: D59A38AE, Key: SharedCampaign_PH, Value: Sharing Playername12's campaign
Hash: 86697E0A, Key: QuestName_PH, Value: Very very very very  long quest name comes here
Hash: A716DF2D, Key: Example_Prompt, Value: {icon:button2, 2.0} Replace string
Hash: CC3C0A8F, Key: FlavorText, Value: [PH] Flavor text goes here. If you are seeing this, it means flavor text hasn't been added to this item yet
Hash: 00020830, Key: WIP, Value: Work In Progress
Hash: 00203BA4, Key: 9999, Value: 9999
Hash: 580B3FB5, Key: UpgradeCostAmount, Value: Upgrade: {s1}
Hash: 00000792, Key: 99, Value: 99
Hash: 004158E0, Key: test, Value: Materials & Stats
Hash: D8707BF3, Key: QuestName, Value: Quest Name Comes here
Hash: 732CDC4E, Key: FullName_WorstCase, Value: WWWWWWWWWWWW ( {icon:PlatformIcon_PS, 2.0}  WWWWWWWWWWWWWWWW)
Hash: 868299F0, Key: LastEdited_FullName_WorstCase, Value: Last Edited by WWWWWWWWWWWW ( {icon:PlatformIcon_PS, 2.0}  WWWWWWWWWWWWWWWW)
Hash: C9411E60, Key: PlatformName_WorstCase, Value: {icon:PlatformIcon_PS, 2.0}  WWWWWWWWWWWWWWWW
Hash: D5111BB8, Key: ClanLeaderWithString_WorstCase, Value: Clan Leader: WWWWWWWWWWWW ( {icon:PlatformIcon_PS, 2.0}  WWWWWWWWWWWWWWWW)
Hash: 92933086, Key: PlatformName, Value: {icon:PlatformIcon_PS, 2.0}  precert2_test
Hash: 4CB00AB9, Key: Copyright, Value: COPYRIGHT {icon:Copyright_Icon, 1.2} All Rights Reserved
Hash: C4C4DDE8, Key: Copyright_Long, Value: This is where all the legal information would be present. This might get really long with a lot of W's.
WWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWW
WWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWW

WWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWW

WWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWW
Hash: 0427B05D, Key: 99999, Value: 99999
Hash: E476CBA8, Key: SmallSingleCharacter, Value: .
Hash: 03490013, Key: TQBF_TextOnly, Value: The quick brown fox jumps over the lazy dog
Hash: CE2227A0, Key: lan_japanese_test, Value: これは非常に一般的な日本語の文になります。また、これは非常に長くなるため、テストするのに適しています
Hash: 01B16B03, Key: lan_turkish_test, Value: Bu Japonca'da çok genel bir cümle olacak. Ayrıca bu gerçekten uzun olacak, bu yüzden test etmek iyi. Ayrıca daha rastgele şeyler eklemek istiyorum.
Hash: 7CE26EB8, Key: lan_chinese_test, Value: 这将只是一个非常通用的日语句子。此外，这将非常长 因此可以对其进行测试。我还想添加更多随机的东西
Hash: 1C566747, Key: lan_chinese_short_test, Value: 奖励：玩家头衔来了
Hash: E23C84B4, Key: FundamentalRussian, Value: Основополагающий Вызов средства
Hash: 148347A2, Key: ClanTestName03, Value: <LCF> Lilith's Conjured Familiars
Hash: 97D98B7B, Key: ShowItemTooltip, Value: This is a placeholder tooltip. Hovering this item should show the corresponding item tooltip.
Hash: 030A640C, Key: CheckboxText, Value: Checkbox condition text
Hash: 6E192626, Key: FilterLabel, Value: [PH]Filter Label
Hash: 3B6B1A92, Key: Results, Value: ({s1})
Hash: 3956C4FF, Key: FilterOption, Value: [PH]Filter option entry
Hash: 94885835, Key: EnchantQuestSample, Value: To unlock, complete {c_highlight}Sorcerer: Legacy of the Magi But Longer for Localization{/c} {icon:Marker_PriorityQuestAvailable, 2.5}.
Hash: 9F4B1AC5, Key: PlatformName_WorstCase_NoIcon, Value: WWWWWWWWWWWWWWWW
Hash: DD455B72, Key: BattleTag_WorstCase, Value: WWWWWWWWWWWW#9999
Hash: 1D974212, Key: loretest, Value: Test lore - 'After the demon went silent, lorem ipsum dolor.'
Hash: C9F2A05A, Key: goldamount, Value: 45,600 / 800,000,000
Hash: 0CDF7890, Key: TransmogRussian, Value: трансмогрификации трансмогрификации
Hash: D731720B, Key: CourtBug, Value: Ruins of Rakhat Keep: Inner Court
Hash: A62DAD8A, Key: MultilineTestString, Value: Test string
with multiple lines

Hash: CF8DD677, Key: AffixStatRange, Value: +[88.8% - 88.8%]
