Hash: FB3FBCC1, Key: PendingRequests, Value: Pending Requests
Hash: 9DD6F43A, Key: Heraldry_Return, Value: Return
Hash: 5C7B0CC7, Key: Heraldry_DoNotSaveExit, Value: Discard Changes
Hash: EA589CD4, Key: Summary_PublicFacing, Value: Clan Details
Hash: 99B43BEC, Key: Summary_InternalOnly, Value: Internal Messages
Hash: D5CB8FA4, Key: ClanInformation, Value: Clan Information
Hash: 83DA6B18, Key: CharacterLimitReached, Value: Character Limit Reached ({s1})
Hash: B858C413, Key: DisbandClan, Value: Disband Clan
Hash: AE5B0C43, Key: ConfirmDisband, Value: Are you sure you want to disband your clan? Please enter the code below to confirm.
Hash: 3F5E0E77, Key: LeaveError_Leadership, Value: You must transfer leadership before you can leave.
Hash: B8A2063A, Key: DisbandError_Bank, Value: You must empty your clan hoard before you can disband your clan.
Hash: E869FA1E, Key: PublicDesc, Value: Public: Your clan will be listed in search results. 
Hash: 136A11FA, Key: PrivateDesc, Value: Private: Your clan will not be listed in search results. 
Hash: F0B73749, Key: PermissionsLeaderLabel, Value: Leader
Hash: 1DF293B4, Key: PermissionsAllRanks, Value: All Ranks
Hash: 8FC00CFB, Key: PermissionsRanksLabel, Value: Set the minimum rank required to access clan features.
Hash: F637885C, Key: EditSymbol, Value: Edit Symbol
Hash: 5DCC9AC7, Key: ConfirmChanges, Value: Save Changes
Hash: C68453E2, Key: RandomizeAll, Value: Randomize All
Hash: 003766F1, Key: Back, Value: Back
Hash: 00AA3841, Key: DisbandClanBody, Value: Are you sure you want to disband your clan? Please enter the code below to confirm.
Hash: ADEEE636, Key: DisbandClanPlaceholder, Value: Clan Name
Hash: C2602EDB, Key: ClanManagement, Value: Clan Management
Hash: 7BC923D4, Key: Blocked, Value: Blocked
Hash: FA4FD45A, Key: LimitedAccess, Value: Limited Access
Hash: 8CAE1408, Key: LimitedAccessBody, Value: Your account is blocked from updated clan content. You can only view content now.
Hash: BE9FB640, Key: HeraldryExitEditMode, Value: Exit Edit Mode
Hash: 4B0C642B, Key: ConfirmRandomTemplate, Value: 
Confirm Code: {s1}
