Hash: 1CF0A9AA, Key: Weapon, Value: Weapon
Hash: 085BB512, Key: Shard, Value: Shard
Hash: 0823C674, Key: Pearl, Value: Pearl
Hash: 4EDB0A4B, Key: HearthScroll, Value: Scroll
Hash: 0871E1EE, Key: Topaz, Value: Topaz
Hash: C72A8DB0, Key: ScoundrelSpecial, Value: Scoundrel Token
Hash: 003BCA14, Key: Jade, Value: Jade
Hash: 0DC65A5C, Key: Diamond, Value: Diamond
Hash: 08641048, Key: Swing, Value: Swing
Hash: E45339DF, Key: EnchantressSpecial, Value: Enchantress Focus
Hash: 4F5B973C, Key: GreaterShard, Value: Greater Shard
Hash: F75F0641, Key: Garnet, Value: Garnet
Hash: EA865071, Key: ElixirOfStrength, Value: ElixirOfStrength
Hash: 0001B962, Key: Dye, Value: Dye
Hash: 110575D1, Key: Ranged, Value: Ranged
Hash: 00408202, Key: Ruby, Value: Ruby
Hash: 290D4DA7, Key: ElixirOfWillpower, Value: ElixirOfWillpower
Hash: 3B804DDD, Key: QuestItemQuestNameFormat, Value: {s1}: "{s2}"
Hash: A4340991, Key: ElixirOfSuperiority, Value: ElixirOfSuperiority
Hash: 255B7C99, Key: Hibernal Cache, Value: Hibernal Cache Openable
