Hash: 72CDBCE8, Key: OptionsButton, Value: Party Options
Hash: 7BC4D552, Key: HeroLevelInfo, Value: Level {s1}
{s2}
Hash: 106B62BA, Key: HeroLevelInfoHardCore, Value: Level {s1}
Hardcore {s2}
Hash: 385EBC10, Key: LeaveGameAndPartyWithSentInvitesConfirmationMessage, Value: Leaving the party now will cancel all the other party invites you've sent. Do you want to leave the party and the game?
Hash: F272B598, Key: LeaveGameAndPartyConfirmationMessage, Value: Are you sure you would like to leave the party and the game?
Hash: CFACDA15, Key: Portrait, Value: {s1}
{s2}
Hash: 9100AD4A, Key: UnableToAddMemberToGame_ContentLevel, Value: {s1} is unable to join this game because the player is not eligible for the current game content.
Hash: 6FDAFCD9, Key: UnableToJoinPartysGame_ContentLevel, Value: Unable to join the party's game because you are not eligible to play the current game content.
Hash: E7F78BED, Key: PartyNotJoinable_AlreadyInParty, Value: That player is in your party.
Hash: 3FD22F47, Key: PartyNotJoinable_PartyFull, Value: This party is full.
Hash: 024BBBD4, Key: PartyNotJoinable_VersionMistmatch, Value: Different versions of Diablo IV cannot play together.  Make sure all players are running the latest version of Diablo IV.
Hash: AD6EE506, Key: PartyNotJoinable_PartyNotAvailable, Value: Party unavailable.
Hash: 6589E0E2, Key: ConfirmForceTransfer, Value: You are about to be transferred to the Party Leader's world.
Hash: C1F7D606, Key: PartyNotJoinable_NotInGame, Value: This player is not in game.
Hash: EE080366, Key: Cancel, Value: Cancel
Hash: 1732BB82, Key: PartyNotJoinable_HardcoreMismatch, Value: Different character types cannot play together. Make sure all players have Hardcore characters.
Hash: AF98F403, Key: PartyNotJoinable_SeasonMismatch, Value: Different character types cannot play together. Make sure all players have seasonal characters.
Hash: CD236206, Key: CancelPartyJoin, Value: Leave Party
Hash: F57F6B67, Key: ConfirmTransferNow, Value: Transfer Now
Hash: CAC846F6, Key: PartyNotJoinable_QueuedForLFP, Value: The party is queued for Looking-for-Party, invites are not available.
Hash: F808404F, Key: CancelRequest, Value: Cancel Request
Hash: 8AA89786, Key: PartyNotJoinable_PartyLocked, Value: The party is locked; invites are not available.
Hash: 371F2F6D, Key: ConfirmTurningHostile, Value: You will become {c_highlight}Bloodmarked{/c} if you join this party.
Hash: 89894392, Key: ConfirmJoinNow, Value: Join Now
Hash: C7D719ED, Key: PartyNotJoinable_CrossplayDenied, Value: Crossplay is not available with this player's platform.
Hash: A143801A, Key: PartyContentInvite, Value: {s1} is about to start {s2}. Would you like to join them?
Hash: B630B90C, Key: PartyRequiredContent, Value: {s1} is initiating content that requires the full party. You will be teleported to them at the end of the countdown.
Hash: 8BDF6EB2, Key: PartyRequiredContentDetails, Value: If you do not wish to be teleported, you must leave the party.
Hash: 6986CBD3, Key: PlayerNotUnmutable_CrossPlayDenied, Value: Cannot unmute player due to crossplay incompatibility
Hash: 9DC45DD3, Key: PartyNotJoinable_NotInvitable, Value: This player is already in a party.
Hash: 14F9E1D5, Key: PartyNotJoinable_MultiplayerNotAllowed, Value: Action unavailable.
Hash: 4538897B, Key: PartyNotJoinable_IneligibleForWorldTier, Value: That player has not unlocked access to your current World Tier.
Hash: 3CC15031, Key: PartyNotJoinable_PrologueContainment, Value: That player must complete the prologue before they can join your party.
Hash: C7115605, Key: PartyNotJoinable_PlayerBlocked, Value: Player is blocked.
Hash: 75309FA3, Key: PartyNotJoinable_IneligibleForWorldTier_Request, Value: You have not unlocked access to the party's current World Tier.
Hash: A82F04FA, Key: PartyNotJoinable_CrossPlayMismatch, Value: Crossplay settings must match. 
Hash: 9791F5B9, Key: PartyNotJoinable_TargetDeceased, Value: This player is deceased.
Hash: C34A2213, Key: PartyNotJoinable_InviterDeceased, Value: You are deceased.
Hash: 629F3F46, Key: PartyCampaignState_Warning, Value: Your party campaign state does not match with the party leader's. You will only be making progress on the party leader's campaign.
Hash: E8688879, Key: PartyNotJoinable_AlreadyInvited, Value: The player is already invited to your party.
Hash: 43BF8A72, Key: SetCampaignStateNotAllowed_PrologueContainment, Value: You cannot return to your campaign state because one or more players in your party have not completed the Prologue yet.
Hash: 13244EF4, Key: PartyNotJoinable_NotInvitableInChallengerRift, Value: This player is busy and cannot be invited yet.
Hash: 2A348AE3, Key: PartyNotJoinable_TargetHostile, Value: You cannot invite Bloodmarked players to your party while not Bloodmarked.
Hash: 652B890B, Key: PartyNotJoinable_TargetHostile_Request, Value: You cannot request to join a party which is not Bloodmarked while Bloodmarked.
Hash: 9954C9EE, Key: PartyRequiredContent_EntitlementMissing, Value: {s1} is initiating content that requires the full party and you do not have access to that location. You will be removed from the party at the end of the countdown.
Hash: 9E25EB28, Key: PartyRequiredContent_EntitlementMissing_ModalBody, Value: This content requires your entire party to be present, but some of your party members do not have access to this location. If you continue, they will be removed from the party. 
