Hash: FE7CC0FC, Key: AvailablePacts, Value: Pacts:
Hash: 23B37FF1, Key: BloodSeal_Tooltip_Inactive, Value: Insufficient Pacts to Activate
Hash: 88AC8C5B, Key: BloodSeal_Tooltip_Equipped, Value: Equipped
Hash: EC1B1FB2, Key: PactArmor_Tooltip_PactsGranted, Value: Pacts Granted {c_number_req}({/c}{s1}{c_number_req}/{s2}){/c}:
Hash: D37519B5, Key: Medallion_Pact_Tooltip_Divinity, Value: Pact of Divinity
Hash: E772B4B9, Key: Medallion_Pact_Tooltip_Eternity, Value: Pact of Eternity
Hash: 6F21B8CA, Key: Medallion_Pact_Tooltip_Ferocity, Value: Pact of Ferocity
Hash: 2B01937E, Key: PotentBlood_Currency_Tooltip, Value: {s1} Potent Blood (Unlocks or Upgrades Vampiric Powers)
Hash: A736A9DE, Key: PowersStateValue, Value: {s1}
Hash: 7972E47E, Key: PactChangeNotificationHeader, Value: Pacts Updated
Hash: 2A0084BA, Key: PactChangeNotificationMessage, Value: Go to the Sanguine Circle
Hash: 03FDE1F2, Key: Locked, Value: Locked
Hash: 83C92AA2, Key: BloodSeal_Tooltip_Power_Level, Value: Level {s1}
Hash: 43F7A047, Key: BloodSeal_Tooltip_Power_Level_Max, Value: Max Level
Hash: 2D24DFDA, Key: AvailablePacts_Descriptor, Value: {c_number_req}{c_number}Available{/c} / Required{/c}
Hash: EC37B742, Key: BloodSeal_Tooltip_Unlock_Roll, Value: Acquired with Potent Blood
Hash: E0BDB517, Key: BloodSeal_Tooltip_Unlock_Quest_Generic, Value: Acquired from Seasonal Quest
Hash: 74528036, Key: BloodSeal_Tooltip_Unlock_BloodHarvest, Value: Acquired from the Blood Harvest
Hash: C9D1389A, Key: UpgradeSeal_FullUpgrades, Value: {c_highlight}All powers are fully upgraded{/c}
Hash: D89CDD65, Key: UpgradeSeal_Complete, Value: Your Vampiric Power has been upgraded.
Hash: 66976002, Key: ArmorPact_ToolTip_Divinity, Value: Pact of Divinity {s1}
Hash: 7A94FB06, Key: ArmorPact_ToolTip_Eternity, Value: Pact of Eternity {s1}
Hash: 0243FF17, Key: ArmorPact_ToolTip_Ferocity, Value: Pact of Ferocity {s1}
Hash: B0FB253E, Key: AddPactsButtonAction, Value: Add Pacts
Hash: 20F1CDA3, Key: RemovePactsButtonAction, Value: Remove Pacts
Hash: A30F36D8, Key: BloodSealUnlockPanelMsg, Value: {s1} has been unlocked
Hash: 5CBEB1D4, Key: BloodSealUpgradePanelMsg, Value: {s1} has been upgraded
Hash: 87ABEC2F, Key: BloodSealUpgradePanelTitle, Value: Vampiric Power Upgraded
Hash: F5ECE57B, Key: BloodSeal_Tooltip_Unlock_Quest_01, Value: Acquired from "Blood Money" (Quest)
Hash: F5ECE57F, Key: BloodSeal_Tooltip_Unlock_Quest_05, Value: Acquired from "A Witness in the Dust" (Quest)
Hash: F5ECE580, Key: BloodSeal_Tooltip_Unlock_Quest_06, Value: Acquired from "Beckoning Thirst" (Quest)
Hash: F5ECE583, Key: BloodSeal_Tooltip_Unlock_Quest_09, Value: Acquired from "Battle of Fear and Faith" (Quest)
Hash: F5ECE59C, Key: BloodSeal_Tooltip_Unlock_Quest_11, Value: Acquired from "A Serpent Cornered" (Quest)
Hash: 0BDD9286, Key: BloodSeal_Tooltip_UnlockText_PH, Value: [PH] Unlock by defeating Lord Zir.
Hash: BAB55F60, Key: Upgrade_Equipped_Indicator, Value: {c_bonus}Currently Equipped{/c}
