Hash: 34080E13, Key: Bounty_Assassinate_Frac_BanditMelee, Value: Taiga Bandit Chief
Hash: 998FDD7E, Key: DRLG_Structure_Zombie, Value: Congealed Rot
Hash: 7D1289E2, Key: Bounty_Harvest_Elites, Value: Rasping Shade
Hash: 3A62ACF9, Key: Bounty_Assassinate_Scos_DrownedRanged, Value: Gurgling One
Hash: 00ACD7CA, Key: Bounty_Assassinate_Scos_DrownedBrute, Value: The Mastbreaker
Hash: 89072348, Key: Bounty_Assassinate_Scos_WerewolfMelee, Value: Alpha Bloodspawn
Hash: C1B2B68B, Key: Bounty_Assassinate_Scos_GhostRanged, Value: Eternal Runescribe
Hash: 016C9C30, Key: Bounty_Assassinate_Scos_DrownedMelee, Value: Sputtering Madman
Hash: 305AF71E, Key: Bounty_Assassinate_Scos_BanditAmbusher, Value: Silent Knife
Hash: 64905BBE, Key: Bounty_Assassinate_Scos_GoatmanBrute, Value: Eldhaime's Bane
Hash: D7B73355, Key: Bounty_Assassinate_Scos_WerewolfStealth, Value: Voracious Shadow
Hash: 74FF4B0F, Key: Bounty_Assassinate_Scos_BanditMelee, Value: Deranged Lumberjack
Hash: C0E039E9, Key: Bounty_Assassinate_Scos_FallenBrute, Value: Blood Clan Enforcer
Hash: 9EB84A5C, Key: Bounty_Assassinate_Scos_GhostCaster, Value: Restless Ancient
Hash: 30D80C54, Key: DGN_Mote_Carrier, Value: Animus Carrier
Hash: 6D6E55BD, Key: World_LostCache, Value: Supplicant of Lilith
Hash: 648B1267, Key: QST_Hawe_Lyndon_BackwaterTraitor, Value: Backwater Traitor
Hash: 7DB65AD2, Key: LE_Claustrophobic, Value: The Immured
Hash: 98667828, Key: EH_Caldeum_Ceremony, Value: High inquisitor
Hash: 3EA6A10F, Key: DGN No Boss Chest Guardian, Value: Resplendent Guardian
Hash: FEF1299E, Key: LE_Sealed, Value: The Sealed
Hash: 9E287EF7, Key: Bounty_Assassinate_Step_DemonSpitter, Value: Mongrel of Rakinishu
Hash: 56A5E561, Key: Bounty_Assassinate_Step_ZombieBrute, Value: Purulent Captain
Hash: 11EC1806, Key: Bounty_Assassinate_Step_GhostMelee, Value: Immortal Spirit
Hash: 2B96119A, Key: Bounty_Assassinate_Step_MaggotBrute, Value: Festering Sand Queen
Hash: 8A8360C6, Key: Bounty_Assassinate_Step_SkeletonMelee, Value: Salt Drinker
Hash: A609BDDA, Key: Bounty_Assassinate_Step_SpiderAdult, Value: Bloodmuck Matron
Hash: 5DA00873, Key: Bounty_Assassinate_Step_CannibalBrute, Value: Insatiable Blade
Hash: 70EFD583, Key: Bounty_Assassinate_Step_CultistBrute, Value: Speaker of Fel Flames
Hash: 71AF99E9, Key: Bounty_Assassinate_Step_CultistMelee, Value: Lord of Ashes
Hash: 4AC3B34B, Key: Bounty_Assassinate_Step_Cannibal2H, Value: Ravager of Dindai
Hash: B778ADDE, Key: Bounty_Assassinate_Step_SpiderHost, Value: Salt Pan Goliath
Hash: D691263D, Key: Bounty_Assassinate_Kehj_DemonSpitter, Value: Triune Dark Spawn
Hash: 5AB554EE, Key: Bounty_Assassinate_Kehj_GoatmanMelee, Value: Moonclan Rockhoof
Hash: 96908516, Key: Bounty_Assassinate_Hawe_SnakeBrute, Value: Shadow in the Reeds
Hash: 001DEBC0, Key: Bounty_Assassinate_Hawe_CultistSummoner, Value: Scalespeaker
Hash: 3A13804D, Key: Bounty_Assassinate_Kehj_ZombieMelee, Value: The Ever-parched
Hash: 88B79460, Key: Bounty_Assassinate_Kehj_SpiderAdult, Value: Desert's Kiss
Hash: D1AA7EF9, Key: Bounty_Assassinate_Kehj_KnightMonk, Value: Savage Pupil
Hash: 2743CEE8, Key: Bounty_Assassinate_Kehj_FlyHost, Value: Sandpox Incubator
Hash: DE52A3BD, Key: Bounty_Assassinate_Kehj_SkeletonShield, Value: Bleached Bulwark
Hash: 3CACFD73, Key: Bounty_Assassinate_Kehj_FallenBrute, Value: Dune Pounder
Hash: D9907C93, Key: Bounty_Assassinate_Kehj_DrownedSpecial, Value: Briny Corsair
Hash: 1D31232C, Key: Bounty_Assassinate_Kehj_DemonMega, Value: Hellborne Despoiler
Hash: 765DE19D, Key: Bounty_Assassinate_Hawe_DrownedMelee, Value: Cursed Mutineer
Hash: D50AAB82, Key: Bounty_Assassinate_Hawe_DrownedMini, Value: Gibbering Dead
Hash: 40601D49, Key: Bounty_Assassinate_Hawe_KnightBrute, Value: Lost Pilgrim
Hash: 8B752EC2, Key: Bounty_Assassinate_Hawe_DemonSuccubus, Value: Swamp Hexxer
Hash: 759E1D37, Key: Bounty_Assassinate_Hawe_DrownedBrute, Value: Flotsam King
Hash: C7DC5787, Key: Bounty_Assassinate_Hawe_SpiderHost, Value: Consort of Arachyr
Hash: 29A451D2, Key: Bounty_Assassinate_Hawe_CultistMelee, Value: Serpent's Edge
Hash: 69C19796, Key: Bounty_Assassinate_Hawe_SnakeCaster, Value: Scaled Siren
Hash: 14EB81E2, Key: Bounty_Assassinate_Hawe_CannibalMelee, Value: Flesh Gorger
Hash: 3860B001, Key: Bounty_Assassinate_Hawe_Skeleton2H, Value: Arbor Eater
Hash: 6C56C89C, Key: Bounty_Assassinate_Hawe_BanditMeleeBomb, Value: Mad Bomber
Hash: 224FC1AF, Key: Bounty_Assassinate_Hawe_GhostMelee, Value: Devoured One
Hash: 60974C4A, Key: DRLG_Structure_Bandit, Value: Caravan Slayer
Hash: A656A803, Key: DRLG_Structure_Fly, Value: Carrion Drone
Hash: 825951A3, Key: DRLG_Structure_Werewolf, Value: Rage Fiend
Hash: 915621BF, Key: EH_EvilGarden_Guard, Value: Hatchery Slitherguard
Hash: 5F8E6F4C, Key: Bounty_Assassinate_Step_CannibalDualwield, Value: Bastard of Guulrahn
Hash: 2B16A626, Key: Bounty_Assassinate_Step_DemonMega, Value: Sins of the Carver
Hash: D4E979B9, Key: Bounty_Assassinate_Step_DemonSuccubus, Value: Mistress of the Wastes
Hash: C3F70D5D, Key: Bounty_Assassinate_Scos_Woodwraith, Value: Infested Oak
Hash: 65502024, Key: Bounty_Assassinate_Scos_GoatmanMelee, Value: The Bloodletter
Hash: 9336E8FC, Key: Bounty_Assassinate_Scos_MaggotMelee, Value: Ravenous Corpse-Eater
Hash: F7FC05CB, Key: Bounty_Assassinate_Scos_SkeletonRanged, Value: Vindictive Sacrifice
Hash: BE46BCC3, Key: Bounty_Assassinate_Scos_ZombieMelee, Value: The Decomposer
Hash: 77AA8258, Key: Bounty_Assassinate_Hawe_GhostRanged, Value: Spectral Assassin
Hash: 52F92C36, Key: Bounty_Assassinate_Hawe_FallenCaster, Value: Chieftain of the Rotting Halls
Hash: 1EB0F5A2, Key: Bounty_Assassinate_Step_BanditAmbusher, Value: Quick Blade
Hash: E21C1210, Key: QST_Caldeum_Myiasis_Gifter, Value: Myiasis Gifter
Hash: 7D3E1093, Key: QST_Caldeum_Exudate_Sipper, Value: Exudate Sipper
Hash: F26AFDAE, Key: EH_TaintedBlood_SpawnName, Value: Simulacrum
Hash: FF67E826, Key: S01_DRLG_Structure_Malignant, Value: Malignant Maester
Hash: DA7EFD76, Key: LE_Sacrifice_Seasonal_Vamptide_SuperElite_FlavorText, Value: Blood Gorger
Hash: F9098E2B, Key: S2_Vampzone_BloodSeeker_FlavorOverride, Value: Blood Seeker
Hash: 806B97C0, Key: S2_Vampzone_BloodHarvester_FlavorOverride, Value: Blood Harvester
Hash: 3C168CF4, Key: S2_Vampzone_CorpsePile_SuperEliteFlavorOverride, Value: Gluttonous Reaver
Hash: 5E5D8B3E, Key: S2_Vampzone_Wargmaster_FlavorTextOverride, Value: Wargmaster
Hash: 9BED6B6D, Key: S03_UnearthedMachinations_LightningBoss, Value: [ph] Voltaic Vault Warden
Hash: A4F2386F, Key: S03_UnearthedMachinations_FireBoss, Value: [ph] Igneous Vault Warden
Hash: 9FF91A0B, Key: S03_UnearthedMachinations_ColdBoss, Value: [ph] Frigid Vault Warden
Hash: 899D0ECF, Key: LE_S03_LNY_Shrine_SuperElite_FlavorText, Value: Miserly Spirit
Hash: CA1A34A4, Key: S03_LNY_WhisperShrine_Elite, Value: Miserly Spirit
Hash: C53C862F, Key: S4_PROTOTYPE_LightDark_Monsters, Value: [PH] Light/Dark Monster
Hash: 6C2BCD4C, Key: COTD_ShardBearer, Value: Shardspiked
Hash: E827A1C2, Key: BSK_ShockTrooper, Value: Aether Fiend
Hash: C34D7923, Key: BSK_Miniboss, Value: Aether Lord
