Hash: 9A21C914, Key: SkillsTitle, Value: Skills
Hash: 8ACBED86, Key: CoreStat_Dexterity, Value: Dexterity
Hash: 85B3A6F7, Key: CoreStat_Intelligence, Value: Intelligence
Hash: 33712809, Key: CoreStat_Willpower, Value: Willpower
Hash: 488CA47A, Key: ParagonOpen, Value: Paragon
Hash: A745633A, Key: StatPointsAvailable, Value: {s1} Stat Points
Hash: AA342846, Key: ParagonPointsAvailable, Value: {s1} Paragon Points
Hash: 5BAB8C3A, Key: SkillLabel_Active, Value: {s1}
Hash: 4F0F8019, Key: SkillLabel_Passive, Value: Passive Skill
Hash: 7E3524AD, Key: SkillLabel_Modifier, Value: Skill Modifier
Hash: 7D63D6B9, Key: NodeRankBonus, Value: {s1}/{s2}
Hash: 78A634D3, Key: RankBonus, Value: {c_label}Next Rank{/c}: {s1}
Hash: 8E12F12C, Key: RankAdditionalBonus, Value: {icon:bullet, 1.2} Rank 3 Additional Bonus: {s1}
Hash: F74B463A, Key: RankGainItem, Value: (Item Contribution:{c_blue}{s1}{/c})
Hash: 7CA7FD85, Key: ShowLockedSkills, Value: Show unavailable Skills
Hash: 1D15D538, Key: SkillAssignment, Value: Skill Assignment
Hash: C209EA7B, Key: ExpandView, Value: Expand View
Hash: A9DEB14F, Key: SkillTree, Value: Skill Tree
Hash: 9804D888, Key: Paragon, Value: Paragon
Hash: 2A97D396, Key: Abilities, Value: Abilities
Hash: 7935A59E, Key: HideLockedSkills, Value: Hide unavailable Skills
Hash: 3A45BC55, Key: EnchantSlotLocked, Value: This Enchantment Slot is locked. Reach Level {s1} to unlock it.
Hash: 9735007A, Key: ParagonLocked, Value: Paragon (Lv. {s1})
Hash: DA021DFD, Key: RefundAll, Value: Refund All
Hash: FEC244DD, Key: NotEnoughGold, Value: {c_red}You don't have enough gold to refund all the nodes.{/c}
Hash: 1A47047D, Key: RefundCost, Value: Refund Cost:
Hash: 24D2D295, Key: YourGold, Value: Your Gold:
Hash: 3D3F74C6, Key: RefundAllConfirmation, Value: Are you sure you want to {c_highlight}refund all nodes{/c}?
Hash: 5809BAEE, Key: PointsBack, Value: Points to refund:
Hash: 7236FC2F, Key: GoldIcon, Value: {icon:gold, 1.2}
Hash: 2FFA9883, Key: EnchantTitle, Value: Enchantments
Hash: 31F8F5ED, Key: EnchantUnlock, Value: To unlock, complete {icon:Marker_PriorityQuestAvailable, 2.5}{c_highlight}{s1}{/c}.
Hash: D727B6FB, Key: NecroSkillInstruction_Controller, Value: {hotkey:Equippables} Open
Book of the Dead
Hash: D06D4251, Key: NecroSkillInstruction_KBM, Value: {hotkey:Class_Screen} Open
Book of the Dead
Hash: F8D6BC2F, Key: NoSkills, Value: Unlock Skills within the {hotkey:Abilities} Skill Tree.
Hash: 0DBEBA24, Key: EnchantSlotAvailable, Value: Assign a Skill to this Enchantment Slot to receive passive benefits.
Hash: C3788CB2, Key: NoSkills_Controller, Value: Unlock Skills within the {hotkey:Equippables} Skill Tree.
Hash: 376390E5, Key: NecroSkeletonCount, Value: {s1}/{s2}
Hash: 0ED484C5, Key: EnterRespecMode, Value: Respec Mode
Hash: 9A673701, Key: ExitRespecMode, Value: Exit Respec Mode
Hash: A9899ED0, Key: ConfirmRespec, Value: Confirm
Hash: 83AB1DFB, Key: RespecCost, Value: Respec Cost:
Hash: F82DA0A7, Key: AvailableGold, Value: Available Gold:
Hash: 06E12F1E, Key: RespecModeOverview, Value: Respec Mode: Overview
Hash: 1538CD0B, Key: RespecModeDescription, Value: {icon:SkillRespecMode_Icon, 2} Refund nodes & paths or re-add them
Hash: 3503382F, Key: ParagonUpdated, Value: Paragon Updated
Hash: D1192725, Key: ParagonRefundSuccess, Value: Paragon Refund was Successful
Hash: CB868B16, Key: SkillTreeUpdated, Value: Skill Tree Updated
Hash: DFE0A37C, Key: SkillRefundSuccess, Value: Skill Refund was successful
Hash: 831E4EE1, Key: BrokenPaths, Value: Broken Paths!
Hash: C6698F22, Key: ChallengerRift_CannotRefundSkills, Value: {c_red}You cannot refund your skills at this time.{/c}
Hash: 2F60BA51, Key: PurchasedSkills, Value: Purchased Skills: {c_number}{s1}{/c_number}
Hash: 37F0E405, Key: SRSkillRead_1to2, Value: {s1}{s2}
Hash: 37F17065, Key: SRSkillRead_2to1, Value: {s2}{s1}
