Hash: AFB11B0D, Key: TabArmour, Value: Armor
Hash: 0AC91581, Key: EmptySlotLong, Value: Empty Slot
Hash: 62FD3D1C, Key: EmptySlot_Info, Value: Save your favorite looks to your Ensemble slots.
Hash: 11A649AC, Key: OpenShop, Value: Go to Shop
Hash: 9745C966, Key: EquippedItemInSlotName, Value: {s1}
{c:FF928c82}(Default Look)
Hash: 9C989F98, Key: UnequippedLookSlotName, Value: {s1}
{c:FF928c82}(Unequipped Look)
Hash: 77F1AD58, Key: NoMarkingColors, Value: Colors are not available for this marking.
Hash: 49BE13E1, Key: HeadstoneShopInfo, Value: Visit the Shop to discover new headstones.
Hash: AE450005, Key: EnsembleDefaultLook, Value: Default looks cannot be saved.
Hash: 687C36C1, Key: ApplyHeadstone, Value: Apply Headstone
Hash: FAA8DEA0, Key: DefaultHeadstone, Value: Default Headstone
Hash: E3ABD8F4, Key: LoadErrorWeapon, Value: Weapon appearance will not be applied due to type mismatch
Hash: BD3B14F7, Key: TabEffects, Value: Effects
Hash: 3AB6E784, Key: TabTownPortals, Value: Town Portals
Hash: 13650AE0, Key: TownPortalShopInfo, Value: Discover new Town Portal looks in the Seasonal Battle Pass.
Hash: BA07BB36, Key: TownPortalsHeader, Value: Town Portals ({s1})
Hash: A85CF317, Key: ApplyTownPortalCosmetic, Value: Apply Town Portal
Hash: 55365F3F, Key: DefaultTownPortal, Value: Default Town Portal
Hash: 7E03B3C0, Key: HideHelm, Value: Hide Helm
Hash: 72CC14A7, Key: ShowHelm, Value: Show Helm
Hash: D297D18E, Key: TabCompanions, Value: Pets
Hash: 8F6F8FA0, Key: CompanionsHeader, Value: Pets ({s1})
Hash: 896B383D, Key: NoCompanionsHeader, Value: No Pets
Hash: 74FC58D9, Key: NoCompanionsText, Value: Complete the Priority Quest{icon:Marker_PriorityQuestAvailable, 2.5}{c_highlight}Faithful Companion{/c} to acquire a new pet.
Hash: 70DF7304, Key: LabelCompanion, Value: pet
Hash: 9533CB5A, Key: LabelTownPortal, Value: portal
Hash: 9B1D47F7, Key: LabelBackTrophy, Value: back trophy
Hash: 120613CB, Key: LabelTransmog, Value: look
