Hash: AC1415B5, Key: Keyword_Stealth_TagName, Value: Stealth
Hash: 209D65E9, Key: Skill_Primary_Major_Destruction_TagName, Value: Major Destruction
Hash: FC052361, Key: Skill_Primary_Conjuration_RootNodeTooltip, Value: {c_important}Conjuration{/c} Skills summon Elemental entities to aid in battle
Hash: E42EA6E9, Key: Skill_Primary_Conjuration_TagName, Value: Conjuration
Hash: B8BF97F5, Key: Skill_Primary_Minor_Destruction_TagName, Value: Minor Destruction
Hash: B6EB3C63, Key: Skill_Primary_Fury_TagName, Value: Fury
Hash: 5FC5EF80, Key: Skill_Primary_Macabre_RootNodeTooltip, Value: {c_important}Corpse{/c} & {c_important}Macabre{/c} Skills control the battle and manipulate the deceased
Hash: 5210C408, Key: Skill_Primary_Macabre_TagName, Value: Macabre
Hash: 44723C5A, Key: Skill_Primary_Summoning_TagName, Value: Summoning
Hash: 1FD16F03, Key: Skill_Primary_Essence_TagName, Value: Essence
Hash: 2312E39A, Key: Skill_Primary_Mastery_RootNodeTooltip, Value: {c_important}Mastery{/c} Skills spend Mana to dominate the battlefield
Hash: 93E03E22, Key: Skill_Primary_Mastery_TagName, Value: Mastery
Hash: 8473D388, Key: Skill_Primary_Agility_RootNodeTooltip, Value: {c_important}Agility{/c} Skills maneuver you across the battlefield with adept mobility
Hash: CC3F2010, Key: Skill_Primary_Agility_TagName, Value: Agility
Hash: F749386E, Key: Skill_Primary_Imbuements_RootNodeTooltip, Value: {c_important}Imbuement{/c} Skills infuse attacks with potent Elemental effects
Hash: B448FEF6, Key: Skill_Primary_Imbuements_TagName, Value: Imbuement
Hash: ABD1DCCE, Key: Skill_Primary_Defensive_RootNodeTooltip, Value: {c_important}Defensive{/c} Skills mitigate damage received and increase survivability
Hash: 72234356, Key: Skill_Primary_Defensive_TagName, Value: Defensive
Hash: FFD3170B, Key: Skill_Primary_Brawling_RootNodeTooltip, Value: {c_important}Brawling{/c} Skills reposition you or boost damage during a fight
Hash: 89809093, Key: Skill_Primary_Brawling_TagName, Value: Brawling
Hash: 3747C9A3, Key: Skill_Primary_Weapon_Mastery_RootNodeTooltip, Value: {c_important}Weapon Mastery{/c} Skills unleash powerful attacks that alter the battle
Hash: 14182B2B, Key: Skill_Primary_Weapon_Mastery_TagName, Value: Weapon Mastery
Hash: 721E0D3A, Key: Skill_Primary_Ultimate_RootNodeTooltip, Value: {c_important}Ultimate{/c} Skills shift the tide of battle and devastate your enemies
Hash: E1ABC7C2, Key: Skill_Primary_Ultimate_TagName, Value: Ultimate
Hash: 50B18598, Key: Skill_Primary_Spirit_TagName, Value: Spirit
Hash: 6F19DE9B, Key: Skill_Primary_Wrath_RootNodeTooltip, Value: {c_important}Wrath{/c} Skills unleash powerful effects that alter the battle
Hash: B680C823, Key: Skill_Primary_Wrath_TagName, Value: Wrath
Hash: 08581D79, Key: Skill_Primary_Companion_RootNodeTooltip, Value: {c_important}Companion{/c} Skills summon allies from nature to aid you in battle
Hash: 5B950901, Key: Skill_Primary_Companion_TagName, Value: Companion
Hash: 7F87F7F1, Key: Skill_Primary_Subterfuge_RootNodeTooltip, Value: {c_important}Subterfuge{/c} Skills outwit and debilitate enemies with trickery
Hash: C4ADEB79, Key: Skill_Primary_Subterfuge_TagName, Value: Subterfuge
Hash: 9AFC7A73, Key: Skill_Primary_Combat_TagName, Value: Combat
Hash: 852A51BC, Key: Skill_Channeled_TagName, Value: Channeled
Hash: 451C7B15, Key: Skill_DualWield_TagName, Value: Dual Wield
Hash: 8E952BC8, Key: Skill_Bludgeoning_TagName, Value: Bludgeoning
Hash: 2D5A3464, Key: Search_Copy_Imbuements_TagName, Value: Imbuement
Hash: 8474C9B0, Key: Search_Copy_Ultimate_TagName, Value: Ultimate
Hash: 6B7709FA, Key: Search_Copy_WeaponMastery_TagName, Value: Weapon Mastery
Hash: 96154B94, Key: Search_Copy_Core_TagName, Value: Core
Hash: 9B667A97, Key: Search_Copy_Corpse_TagName, Value: Corpse
Hash: AFC29CEB, Key: Search_2H_TagName, Value: Two-Handed
Hash: CD5DF373, Key: Skill_Slashing_TagName, Value: Slashing
Hash: 86BC3517, Key: Search_Arsenal_TagName, Value: Arsenal
Hash: 8AE0E6EA, Key: Search_Slashing_TagName, Value: Slashing
Hash: 7373B196, Key: Search_Cooldown_TagName, Value: Cooldown
Hash: E747E61C, Key: Search_Critical_TagName, Value: Critical Strikes
Hash: 332D7237, Key: Search_Shadow_TagName, Value: Shadow
Hash: F90E94F0, Key: Search_Damage_TagName, Value: Damage
Hash: 160ACFDD, Key: Search_DamageReduction_TagName, Value: Damage Reduction
Hash: 1F9BD395, Key: Search_Lightning_TagName, Value: Lightning
Hash: D669816D, Key: Search_MovementSpeed_TagName, Value: Movement
Hash: 9E6A35F1, Key: Search_CrowdControl_TagName, Value: Crowd Control
Hash: E135185A, Key: Search_AttackSpeed_TagName, Value: Attack Speed
Hash: 82A83271, Key: Search_Life_TagName, Value: Life
Hash: E10BBF72, Key: Search_Armor_TagName, Value: Armor
Hash: A7E176B6, Key: Search_Willpower_TagName, Value: Willpower
Hash: E4E44120, Key: Search_Strength_TagName, Value: Strength
Hash: 337EB604, Key: Search_Intelligence_TagName, Value: Intelligence
Hash: 5CF46933, Key: Search_DEXTERITY_TagName, Value: Dexterity
Hash: 8E091F53, Key: Search_Cold_TagName, Value: Cold
Hash: 8D72CFB7, Key: Search_Fire_TagName, Value: Fire
Hash: ECAF98A9, Key: Search_Poison_TagName, Value: Poison
Hash: 1DD6711B, Key: Search_Minion_TagName, Value: Minion
Hash: 292EC75D, Key: Search_Precision_TagName, Value: Precision
Hash: 9CCD9102, Key: Search_Resistance_TagName, Value: Resistance
Hash: 89D5198E, Key: Search_Physical_TagName, Value: Physical
Hash: 225DD248, Key: Search_Burn_TagName, Value: Burn
Hash: C6E9A485, Key: Subpower_StunGrenades_TagName, Value: Stun Grenade
Hash: 6E51D19F, Key: Subpower_IceSpike_TagName, Value: Ice Spike
Hash: 342B06CE, Key: Subpower_DruidLightning_TagName, Value: Lightning Bolt and Dancing Bolt
Hash: A08ACE87, Key: Subpower_LightningBolt_TagName, Value: Lightning Bolt
Hash: 727FB9FD, Key: Subpower_Earthquake_TagName, Value: Earthquake
Hash: 29C0A855, Key: Subpower_DesecratedGround_TagName, Value: Desecrated Ground
Hash: 22E0D3D9, Key: Subpower_DustDevils_TagName, Value: Dust Devil
Hash: 10B1CA29, Key: Search_Healing_TagName, Value: Healing
Hash: 7F61465E, Key: Search_LuckyHit_TagName, Value: Lucky Hit
Hash: 0D43F8C4, Key: Search_Elite_TagName, Value: Elite Monsters
Hash: 5899154D, Key: Search_Bleed_TagName, Value: Bleed
Hash: D5EE3F7E, Key: Search_ShadowDOT_TagName, Value: Shadow Damage Over Time
Hash: A28EABE9, Key: Skill_Nature_Magic_TagName, Value: Nature Magic
Hash: 0BF0A6D9, Key: Search_Resource_TagName, Value: Resource
Hash: 53521AD6, Key: Search_ResourceMana_TagName, Value: Mana
Hash: A2D003FF, Key: Search_ResourceEssence_TagName, Value: Essence
Hash: 19BDCE83, Key: Search_ResourceEnergy_TagName, Value: Energy
Hash: 7B736B14, Key: Search_ResourceSpirit_TagName, Value: Spirit
Hash: 63BD92DF, Key: Search_ResourceFury_TagName, Value: Fury
Hash: 704BAABD, Key: Search_FromEquipment_TagName, Value: From Equipment
Hash: 81661E74, Key: SEARCH_DODGE_TagName, Value: Dodge
Hash: 1C202219, Key: Search_NonPhysical_TagName, Value: Non-Physical
Hash: 8B36E276, Key: Search_Evade_TagName, Value: Evade
Hash: 90D25B8F, Key: Search_Thorns_TagName, Value: Thorns
Hash: 8D4AFD54, Key: Monster_Projectile_TagName, Value: Monster Projectile Power
Hash: D91CB60C, Key: Monster_Basic_Melee_TagName, Value: Monster Basic Melee Power
Hash: 2930E9F4, Key: S03_Construct_Buddy_Melee_TagName, Value: Melee
Hash: 33D6D8BD, Key: S03_Construct_Buddy_Ranged_TagName, Value: Ranged
Hash: BE92676B, Key: S03_Construct_Buddy_Spread_TagName, Value: Arcing
Hash: 9D7F11F2, Key: S03_Construct_Buddy_Duration_TagName, Value: Duration
Hash: 5B689B9D, Key: S03_Construct_Buddy_Projectile_TagName, Value: Projectile
Hash: D7A6E100, Key: S03_Construct_Buddy_Utility_TagName, Value: Utility
Hash: A63D07B1, Key: S03_Construct_Buddy_Cooldown_TagName, Value: Cooldown
Hash: 8046B3FD, Key: Skill_Chain_TagName, Value: Chain
Hash: 9C4C0263, Key: Skill_Mobility_TagName, Value: Mobility
Hash: E09CE083, Key: Skill_Pet_TagName, Value: Pet
Hash: 3C078E52, Key: Subpower_ArrowStorm_TagName, Value: Arrow Storm
Hash: 4DD86BA0, Key: Key Passive_TagName, Value: Key Passive
Hash: DF8ACCEA, Key: Meteorite_TagName, Value: Meteorite
