Hash: 086EAA02, Key: Title, Value: Clan
Hash: C245881F, Key: Controller_RequestToJoin, Value: {icon:button1, 1.8} Request to Join
Hash: 79E5AD9D, Key: Controller_ReportClan, Value: {icon:button3, 1.8} {c_highlight}(Hold){/c} Report Clan 
Hash: 2B737653, Key: SortAndFilterDialogTitle, Value: Sort and Filter
Hash: 305DCD63, Key: SortByLabel, Value: Sort by
Hash: A456A7C4, Key: LanguageLabel, Value: Language
Hash: 440E97FC, Key: FilterDialogApply, Value: Apply
Hash: C97B37FC, Key: FilterDialogCancel, Value: Cancel
Hash: 228F4E4E, Key: FilterDialogDefaults, Value: Restore Defaults
Hash: C806778A, Key: ControllerDialogSearch, Value: {icon:button4, 1.8} Search
Hash: 162732AC, Key: ControllerDialogDefaults, Value: {icon:button3, 1.8} Restore Defaults
Hash: A2726CDA, Key: ControllerDialogCancel, Value: {icon:button2, 1.8} Cancel
Hash: 17E5DEBB, Key: RequestDialogTitle, Value: Request to join {s1}
Hash: 7CD53ACF, Key: RequestDialogNote, Value: Note
Hash: 4CAE2F72, Key: RequestDialogNotePlaceholder, Value: Add an optional note to the clan leader
Hash: 5B7A4287, Key: RequestModalBack, Value: Back
Hash: 278771CE, Key: ControllerRequestDialogBack, Value: {icon:button2, 1.8} Back
Hash: 8AD80E6C, Key: NotificationRequestSentTitle, Value: Request Sent
Hash: 1B7121D8, Key: NotificationRequestSentBody, Value: The clan leader of {s1} has received your request
Hash: E234646B, Key: ListInviteLabel, Value: You have been invited to
Hash: 03F0E3A5, Key: ListRequestLabel, Value: You requested to join
Hash: 08550802, Key: ControllerWithdrawApplication, Value: {icon:button3, 1.8} Withdraw Application
Hash: ABFFBBE3, Key: ControllerAcceptInvite, Value: {icon:button1, 1.8} Accept
Hash: 9F366567, Key: ControllerDeclineInvite, Value: {icon:button3, 1.8} Decline
Hash: 54462CB2, Key: ClanMembersAndDateCreated, Value:  {c:FFbf6a2f}{s1} member(s){/c} • Created {s2}
Hash: 30C2095C, Key: TagLabel, Value: <{s1}>
Hash: A53BEEE5, Key: NumOfFriendsInClan, Value: {s1} friend(s) in this clan
Hash: 80B33147, Key: ClanLeaderWithLabel, Value: Clan Leader: {s1}
Hash: 144EB178, Key: FiltersAppliedLabel, Value: Filters: {s1}
Hash: BCFA0DF1, Key: JoinRequestsWithCount, Value: Join Requests ({s1})
Hash: DFBA2424, Key: LanguageOption_Any, Value: Any
Hash: 9174C015, Key: LeaveClanLastMemberDialogBody, Value: Leaving the clan when there are no other members will disband the clan.
Hash: 2662FAAC, Key: LeaveClanAsLeader, Value: Leaving will pass clan leader to the most veteran and highest ranking member of the clan.
Hash: 9D005A06, Key: LanguageSelectOne, Value: Language (Select 1)
Hash: 604319B0, Key: WithdrawApplicationDialogTitle, Value: Withdraw application?
Hash: 9645D49C, Key: WithdrawApplicationDialogBody, Value: Withdrawing your application does not stop you from applying again later.
Hash: 94380A71, Key: AcceptInviteDialogTitle, Value: Accept Invite?
Hash: 710F313D, Key: AcceptInviteDialogBody, Value: You have been invited to become part of the {s1} clan.
Hash: A25C4756, Key: WithdrawDialogButton, Value: Withdraw
Hash: 48E7D9A4, Key: ApplyError_PlayerBanned, Value: You are banned from this clan.
Hash: 0C14B8DA, Key: ClanDisbandNotification, Value: Your clan has been disbanded.
Hash: 8F529B6D, Key: ClanBannedNotification, Value: You have been banned from your clan.
Hash: 14C9F4B0, Key: ClanKickedNotification, Value: You have been kicked from your clan.
Hash: F4827744, Key: ClanDetails, Value: Clan Details
Hash: 0D707410, Key: LoadingResults, Value: Loading Results
Hash: E68BC566, Key: ControllerRequestDialogRequest, Value: {icon:button4, 1.8} Request to Join
Hash: D81963CD, Key: AcceptedApplication, Value: Your application was accepted
Hash: 265F706D, Key: BackButton, Value: Back
Hash: 9A86AB33, Key: NumClanOnline, Value: {s1}/{s2}
Hash: 003881DE, Key: Date, Value: Date
Hash: 0041AD82, Key: Type, Value: Type
Hash: C16A12FA, Key: PlayerID, Value: Player ID
Hash: 497F86E9, Key: AcceptJoinRequest, Value: Accept
Hash: 328B4099, Key: WithdrawInvite, Value: Withdraw Invite
Hash: B7C2023C, Key: NoInvitesOrRequests, Value: No current invites or requests
Hash: 3100D37C, Key: AppliedOn, Value: Applied on {s1}
Hash: 5A30EF43, Key: DeclineAndReport, Value: Decline & Report
Hash: CB349DBE, Key: WithdrawApplication, Value: Withdraw Application
Hash: C30F9A6D, Key: DeclineJoinRequest, Value: Decline
Hash: CA68BEF9, Key: DeclineInvitation, Value: Decline
Hash: 3992AE04, Key: AcceptApplication, Value: Accept
Hash: 1C0F0BF5, Key: AcceptInvitation, Value: Accept
Hash: B322C188, Key: DeclineApplication, Value: Decline
Hash: 10F4EC6F, Key: WithdrawInvitation, Value: Withdraw Invite
Hash: A1232D37, Key: InviteFromApplication, Value: Invite (from application)
Hash: 5EA4E0FD, Key: ExpiresOn, Value: Expires in {s1}
Hash: D2A5ABCE, Key: InvitedOnDate, Value: Invited {s1}
Hash: F24851A2, Key: InvitationExpiresOn, Value:  (Expires in {s1})
Hash: A42EB35A, Key: AppliedOnDate, Value: You requested to join on {s1}
Hash: 392B02FB, Key: InvitedFromApplication, Value: Your application to join was successful.
Hash: 389C9787, Key: ClanHeraldry_Edited, Value: Last edited by {c_white}{s1}{/c}.
Hash: 7E7310F7, Key: ReportContent, Value: Report Content
Hash: 0D010E3E, Key: LastEditedBy, Value: Last edited by
Hash: B491A169, Key: MOTD_LastUpdatedBy, Value: Last edited by {c_white}{s1}{/c}
Hash: 955D5FA2, Key: InfoLastUpdatedBy, Value: Last edited by {c_white}{s1}{/c}
Hash: 35C6AF82, Key: NameLoadingPlaceholder, Value: ...
Hash: E57FC64F, Key: CharacterUnderMin, Value: 4 or more characters required
Hash: 3C1AEBB5, Key: TempClanName, Value: Clan {s1}
Hash: 2473A92D, Key: ClanNameFlaggedAcknowledge, Value: Acknowledge
Hash: 85E3D183, Key: ClanNamerFlaggedAcknowledgeController, Value: {icon:button1, 2.0} Acknowledge
Hash: 097113CB, Key: ClanContentFlaggedAcknowledgeController, Value: {icon:button1, 2.0} Acknowledge
Hash: 10198CAB, Key: ClanNameFlaggedTitle, Value: Rename Clan
Hash: CB6D4775, Key: JoinRequestButton, Value: Request
Hash: B6E145FE, Key: JoinRequestText, Value: If the clan leader accepts your application, you will be sent an invitation to join.
Hash: 3FEBDCD4, Key: ClanVoiceChat, Value: Voice
Hash: FC1DDE63, Key: ClanContentFlagged, Value: The clan {c_highlight}{s1}{/c} was flagged as inappropriate. It has been cleared.
Hash: 8334B6BB, Key: ClanContentFlagged2ndOffenseBody, Value: The clan {c_highlight}{s1}{/c} was flagged as inappropriate. It has been cleared.

This is your {c_highlight}second time{/c} having your clan content flagged. The next time this happens the content will automatically be reset and you not be allowed to generate content for any clan going forward.
Hash: 7B13FA91, Key: ClanContentFlaggedBody, Value: The clan {c_highlight}{s1}{/c} was flagged as inappropriate. A default has been applied.
Hash: 67E2AE71, Key: ClanContentFlaggedFinalOffenceBody, Value: The clan {c_highlight}{s1}{/c} was flagged as inappropriate. A default has been applied.

This is your {c_highlight}third time{/c} having your clan content flagged. You are no longer allowed to generate content for any clan going forward.

Other clan leadership can still update the content in the clan.
Hash: DED5FE45, Key: ClanContentFlaggedTitle, Value: Clan Content Flagged
Hash: 6390C3A3, Key: ClanHeraldryFlagged, Value: The clan heraldry was flagged as inappropriate. A default heraldry has been applied.
Hash: 92CF5509, Key: ClanNameFlagged, Value: Your {c_highlight}clan name{/c} has been flagged as inappropiate. A temporary name has been applied.
Hash: 233B4DD1, Key: ClanNameFlagged2ndOffenceBody, Value: Your {c_highlight}clan name{/c} "{s1}" has been flagged as inappropriate and must be changed. 

This is the {c_highlight}second time{/c} your clan name has been flagged. If it is reported again you will be forced to select a randomized clan name going forward.
Hash: 07771B46, Key: ClanNameFlaggedAsOffender, Value: Your {c_highlight}clan name{/c} "{s1}" has been flagged as inappropriate and must be changed.
Hash: 654C5437, Key: ClanNameFlaggedBody, Value: Your {c_highlight}clan name{/c} "{s1}" has been flagged as inappropriate and must be changed. The clan name was last updated by {s2}.
Hash: AF2041E9, Key: ClanNameFlaggedFinalOffence, Value: Your {c_highlight}clan name{/c} has been flagged as inappropiate. A generic name has been applied.
Hash: E808B117, Key: ClanNameFlaggedFinalOffenceBody, Value: Your {c_highlight}clan name{/c} "{s1}" has been flagged as inappropriate and has been replaced. 

This is the {c_highlight}third time{/c} having clan name has been flagged. You are only able to have {c_highlight}randomized clan names{/c} going forward.

If the clan leader changes, they will be able to update the name.
Hash: 892BD1BC, Key: ClanMotdFlagged, Value: The clan's {c_highlight}message of the day{/c} has been flagged as inappropriate. The message has been reset.
Hash: 39D933B7, Key: ClanNoneSelected, Value: Select a clan to see its details.
Hash: 3ABE8232, Key: ClanNoneSelected_Requests, Value: Select a request to see its details.
Hash: 1B192CD2, Key: ClanFullName, Value: <{s1}> {s2}
Hash: B25317E8, Key: ClanVoiceChatPermissionTooltip, Value: You do not have permission to join this Clan's voice chat.
Hash: 5B61FABB, Key: EditBoxCharacterLimit, Value: Character Limit {s1}
Hash: B89FB9A4, Key: MoreActions, Value: More Actions
Hash: E5825F39, Key: LastOnline, Value: Last online {s1} |4day ago:days ago
Hash: 89EA135A, Key: AlreadyMember, Value: You are also a member of this clan
Hash: 878E5EAF, Key: AlreadyLeader, Value: You are the leader of this clan
Hash: 6D359839, Key: ViewClan, Value: View Clan Profile
Hash: B35203BD, Key: ClanViewConsoleProfile, Value: View Console Profile
Hash: 8FA10F54, Key: LastOnline_UnderHour, Value: Last online less than an hour ago
Hash: 64780D09, Key: LastOnline_Hours, Value: Last online {s1} |4hour ago:hours ago
Hash: C318C9EF, Key: LastOnline_MaxDays, Value: Last online more than a month ago
Hash: B858C413, Key: DisbandClan, Value: Disband Clan
