Hash: 78AB02DD, Key: FrozenSuffix004, Value:  Frostburn
Hash: 937D716B, Key: KnightGenericPrefix056, Value: Lieutenant Frederic
Hash: 937D716C, Key: KnightGenericPrefix057, Value: Lieutenant Hervoet
Hash: 937D716D, Key: KnightGenericPrefix058, Value: Lieutenant Jurdi
Hash: 937D716E, Key: KnightGenericPrefix059, Value: Lieutenant Adinet
Hash: 937D7186, Key: KnightGenericPrefix060, Value: Lieutenant Evrat
Hash: 937D7187, Key: KnightGenericPrefix061, Value: Lieutenant Bertelemi
Hash: 937D7188, Key: KnightGenericPrefix062, Value: Lieutenant Fouques
Hash: 937D7189, Key: KnightGenericPrefix063, Value: Lieutenant Hughoc
Hash: 937D718A, Key: KnightGenericPrefix064, Value: Lieutenant Isemberd
Hash: 937D718B, Key: KnightGenericPrefix065, Value: Lieutenant Gylbard
Hash: 937D718C, Key: KnightGenericPrefix066, Value: Ranulph
Hash: 937D718D, Key: KnightGenericPrefix067, Value: Vauquelin
Hash: 937D718E, Key: KnightGenericPrefix068, Value: Folcard
Hash: 937D718F, Key: KnightGenericPrefix069, Value: Dowd
Hash: 937D71A7, Key: KnightGenericPrefix070, Value: Hervoet
Hash: D5D31B10, Key: FallenGenericPrefix003, Value: Gurkag
Hash: D5D31B11, Key: FallenGenericPrefix004, Value: Darzach
Hash: D5D31B12, Key: FallenGenericPrefix005, Value: Velpez
Hash: D5D31B13, Key: FallenGenericPrefix006, Value: Xirgirosh
Hash: D5D31B14, Key: FallenGenericPrefix007, Value: Brashtronnog
Hash: D5D31B15, Key: FallenGenericPrefix008, Value: Mal'gushu
Hash: D5D31B16, Key: FallenGenericPrefix009, Value: Kargrosh
Hash: D5D31B2E, Key: FallenGenericPrefix010, Value: Elvumoz
Hash: D5D31B2F, Key: FallenGenericPrefix011, Value: Xazzonnosh
Hash: D5D31B30, Key: FallenGenericPrefix012, Value: Tralmaxish
Hash: D5D31B31, Key: FallenGenericPrefix013, Value: Rakoshan
Hash: D5D31B32, Key: FallenGenericPrefix014, Value: Rishikana
Hash: D5D31B33, Key: FallenGenericPrefix015, Value: Kozinishu
Hash: 937D71A8, Key: KnightGenericPrefix071, Value: Damreus
Hash: 49DA7270, Key: ElectricLanceSingleAffixElitePrefix001, Value: Shocking
Hash: 25BEFE42, Key: LightningTotemsSingleAffixElitePrefix001, Value: Stormy
Hash: 79CE77C8, Key: TeleporterSingleAffixElitePrefix001, Value: Thundering
Hash: 51ED181E, Key: FireOrbsSingleAffixElitePrefix001, Value: Scorching
Hash: 7902AFB6, Key: FrozenSingleAffixElitePrefix001, Value: Shattering
Hash: 3F5CEFFE, Key: ChillingWindSingleAffixElitePrefix001, Value: Windy
Hash: C28A5E6A, Key: VortexSingleAffixElitePrefix001, Value: Snowy
Hash: F4947889, Key: WallerSingleAffixElitePrefix001, Value: Grave
Hash: D10FDEEF, Key: VampiricEnrageSingleAffixElitePrefix001, Value: Bloodthirsty
Hash: 0E527828, Key: SuppressorSingleAffixElitePrefix001, Value: Blocking
Hash: F5049190, Key: ChaosSingleAffixElitePrefix001, Value: Dreadful
Hash: BFFECE18, Key: SummonerSingleAffixElitePrefix001, Value: Hellcaller
Hash: 9B1AD64E, Key: TetherSingleAffixElitePrefix001, Value: Binding
Hash: 341BF004, Key: PoisonEnchantedSingleAffixElitePrefix001, Value: Wretched
Hash: DB6A918B, Key: MultishotSingleAffixElitePrefix001, Value: Mirroring
Hash: D71C786E, Key: ColdEnchantedSingleAffixElitePrefix001, Value: Shivering
Hash: C6B9EF12, Key: ShadowEnchantedSingleAffixElitePrefix001, Value: Nightmare
Hash: 4C2D4A10, Key: LightningEnchantedSingleAffixElitePrefix001, Value: Sparking
Hash: FB0F3DD2, Key: FireEnchantedSingleAffixElitePrefix001, Value: Burning
Hash: 82CED571, Key: PlaguebearerSingleAffixElitePrefix001, Value: Tainted
Hash: 26EA80D7, Key: MortarSingleAffixElitePrefix001, Value: Fiery
Hash: FD9BD10B, Key: GhostGenericFemalePrefix001, Value: Rosaline
Hash: FD9BD10C, Key: GhostGenericFemalePrefix002, Value: Bethia
Hash: FD9BD10D, Key: GhostGenericFemalePrefix003, Value: Mahault
Hash: FD9BD10E, Key: GhostGenericFemalePrefix004, Value: Hawys
Hash: FD9BD10F, Key: GhostGenericFemalePrefix005, Value: Caria
Hash: FD9BD110, Key: GhostGenericFemalePrefix006, Value: Fiona
Hash: 856AC920, Key: GhostGenericMalePrefix001, Value: Warde
Hash: 856AC921, Key: GhostGenericMalePrefix002, Value: Aeran
Hash: 856AC922, Key: GhostGenericMalePrefix003, Value: Damiane
Hash: 856AC923, Key: GhostGenericMalePrefix004, Value: Torne
Hash: 1059C1E6, Key: GhostCasterPrefix001, Value: Emelote
Hash: 1059C1E7, Key: GhostCasterPrefix002, Value: Flaym
Hash: 1523EA0B, Key: GhostMeleeMalePrefix001, Value: Pawer
Hash: D5D31B34, Key: FallenGenericPrefix016, Value: Kul'gi
Hash: 937D71A9, Key: KnightGenericPrefix072, Value: Eriac
Hash: 937D71AA, Key: KnightGenericPrefix073, Value: Hewwes
Hash: 29230598, Key: BanditGenericFemalePrefix001, Value: Mariela
Hash: 29230599, Key: BanditGenericFemalePrefix002, Value: Harvine
Hash: 2923059A, Key: BanditGenericFemalePrefix003, Value: Ayanna
Hash: 2923059B, Key: BanditGenericFemalePrefix004, Value: Katerina
Hash: 4C91766D, Key: BanditGenericMalePrefix001, Value: Stefan
Hash: 4C91766E, Key: BanditGenericMalePrefix002, Value: Bronwen
Hash: 4C91766F, Key: BanditGenericMalePrefix003, Value: Corin
Hash: 4C917670, Key: BanditGenericMalePrefix004, Value: Nigel
Hash: 4C917671, Key: BanditGenericMalePrefix005, Value: Lyndon
Hash: 35EA95CC, Key: ZombieGenericFemalePrefix001, Value: Eudeline
Hash: 35EA95CD, Key: ZombieGenericFemalePrefix002, Value: Madlen
Hash: 35EA95CE, Key: ZombieGenericFemalePrefix003, Value: Ysabell
Hash: 35EA95CF, Key: ZombieGenericFemalePrefix004, Value: Emlin
Hash: 35EA95D0, Key: ZombieGenericFemalePrefix005, Value: Gabriela
Hash: 35EA95D1, Key: ZombieGenericFemalePrefix006, Value: Uvarotia
Hash: 35EA95D2, Key: ZombieGenericFemalePrefix007, Value: Briverra
Hash: 35EA95D3, Key: ZombieGenericFemalePrefix008, Value: Egiviah
Hash: 35EA95D4, Key: ZombieGenericFemalePrefix009, Value: Ozavash
Hash: 35EA95EC, Key: ZombieGenericFemalePrefix010, Value: Ochroroti
Hash: 020F69A1, Key: ZombieGenericMalePrefix001, Value: Anchier
Hash: 020F69A2, Key: ZombieGenericMalePrefix002, Value: Fery
Hash: 020F69A3, Key: ZombieGenericMalePrefix003, Value: Bardolph
Hash: 020F69A4, Key: ZombieGenericMalePrefix004, Value: Ogier
Hash: 020F69A5, Key: ZombieGenericMalePrefix005, Value: Hubard
Hash: 020F69A6, Key: ZombieGenericMalePrefix006, Value: Wrouthik
Hash: 020F69A7, Key: ZombieGenericMalePrefix007, Value: Xobrum
Hash: 020F69A8, Key: ZombieGenericMalePrefix008, Value: Edothum
Hash: 020F69A9, Key: ZombieGenericMalePrefix009, Value: Zrixius
Hash: 020F69C1, Key: ZombieGenericMalePrefix010, Value: Egrulazar
Hash: 020F69C2, Key: ZombieGenericMalePrefix011, Value: Ayeizis
Hash: 020F69C3, Key: ZombieGenericMalePrefix012, Value: Harig
Hash: 020F69C4, Key: ZombieGenericMalePrefix013, Value: Trygn
Hash: 69D27927, Key: WerewolfGenericPrefix001, Value: Arric
Hash: 69D27928, Key: WerewolfGenericPrefix002, Value: Marlowe
Hash: 69D27929, Key: WerewolfGenericPrefix003, Value: Rynders
Hash: 69D2792A, Key: WerewolfGenericPrefix004, Value: Aluxious
Hash: 69D2792B, Key: WerewolfGenericPrefix005, Value: Kirnon
Hash: B94CE150, Key: VampireGenericPrefix001, Value: Zachariah
Hash: B94CE151, Key: VampireGenericPrefix002, Value: Lucas
Hash: B94CE152, Key: VampireGenericPrefix003, Value: Dorian
Hash: B94CE153, Key: VampireGenericPrefix004, Value: Orsova
Hash: B94CE154, Key: VampireGenericPrefix005, Value: Jael
Hash: B94CE155, Key: VampireGenericPrefix006, Value: Dragos
Hash: B94CE156, Key: VampireGenericPrefix007, Value: Damian
Hash: B94CE157, Key: VampireGenericPrefix008, Value: Desmond
Hash: 12F17455, Key: VampireCasterPrefix001, Value: Vladimir
Hash: 3E6E7294, Key: CannibalGenericPrefix001, Value: Khem
Hash: 3E6E7295, Key: CannibalGenericPrefix002, Value: Krinn
Hash: 3E6E7296, Key: CannibalGenericPrefix003, Value: Gelalk
Hash: 3E6E7297, Key: CannibalGenericPrefix004, Value: Tyag
Hash: 3E6E7298, Key: CannibalGenericPrefix005, Value: Losgof
Hash: 3E6E7299, Key: CannibalGenericPrefix006, Value: Maulk
Hash: 3E6E729A, Key: CannibalGenericPrefix007, Value: Bhul
Hash: 3E6E729B, Key: CannibalGenericPrefix008, Value: Scolad
Hash: 3E6E729C, Key: CannibalGenericPrefix009, Value: Ashot
Hash: 446F47AF, Key: DrownedGenericPrefix001, Value: Cleavant
Hash: 446F47B0, Key: DrownedGenericPrefix002, Value: Nayte
Hash: 446F47B1, Key: DrownedGenericPrefix003, Value: Orson
Hash: 446F47B2, Key: DrownedGenericPrefix004, Value: Walworth
Hash: 446F47B3, Key: DrownedGenericPrefix005, Value: Woodward
Hash: 446F47B4, Key: DrownedGenericPrefix006, Value: Wheaton
Hash: 446F47B5, Key: DrownedGenericPrefix007, Value: Endicott
Hash: 446F47B6, Key: DrownedGenericPrefix008, Value: Earland
Hash: 0A1F830E, Key: CultistGenericFemalePrefix001, Value: Umona
Hash: 0A1F830F, Key: CultistGenericFemalePrefix002, Value: Ecthrois
Hash: 0A1F8310, Key: CultistGenericFemalePrefix003, Value: Sybil
Hash: 0A1F8311, Key: CultistGenericFemalePrefix004, Value: Velorina
Hash: 0A1F8312, Key: CultistGenericFemalePrefix005, Value: Lucretia
Hash: 0A1F8313, Key: CultistGenericFemalePrefix006, Value: Sisiarh
Hash: 0A1F8314, Key: CultistGenericFemalePrefix007, Value: Llayla
Hash: F6441E63, Key: CultistGenericMalePrefix001, Value: Trik
Hash: F6441E64, Key: CultistGenericMalePrefix002, Value: Zeph
Hash: F6441E65, Key: CultistGenericMalePrefix003, Value: Yizla
Hash: F6441E66, Key: CultistGenericMalePrefix004, Value: Heinrik
Hash: F6441E67, Key: CultistGenericMalePrefix005, Value: Rumlar
Hash: F6441E68, Key: CultistGenericMalePrefix006, Value: Sceledrus
Hash: F6441E69, Key: CultistGenericMalePrefix007, Value: Orfeo
Hash: F6441E6A, Key: CultistGenericMalePrefix008, Value: Ulysson
Hash: F6441E6B, Key: CultistGenericMalePrefix009, Value: Dextaro
Hash: F6441E83, Key: CultistGenericMalePrefix010, Value: Oswell
Hash: 7D8873A7, Key: GoatmenGenericPrefix001, Value: Vravak
Hash: 7D8873A8, Key: GoatmenGenericPrefix002, Value: Voduk
Hash: 7D8873A9, Key: GoatmenGenericPrefix003, Value: Xazeus
Hash: 7D8873AA, Key: GoatmenGenericPrefix004, Value: Garafrad
Hash: 7D8873AB, Key: GoatmenGenericPrefix005, Value: Balam
Hash: 7D8873AC, Key: GoatmenGenericPrefix006, Value: Bleassot
Hash: 7D8873AD, Key: GoatmenGenericPrefix007, Value: Braigh
Hash: 7D8873AE, Key: GoatmenGenericPrefix008, Value: Baaral
Hash: 7D8873AF, Key: GoatmenGenericPrefix009, Value: Raim
Hash: 7D8873C7, Key: GoatmenGenericPrefix010, Value: Baraim
Hash: 7D8873C8, Key: GoatmenGenericPrefix011, Value: Eloain
Hash: 7D8873C9, Key: GoatmenGenericPrefix012, Value: Mosuk
Hash: BE9D9861, Key: SkeletonGenericPrefix001, Value: Odrazad
Hash: BE9D9863, Key: SkeletonGenericPrefix003, Value: Crokhar
Hash: BE9D9862, Key: SkeletonGenericPrefix002, Value: Xopent
Hash: BE9D9864, Key: SkeletonGenericPrefix004, Value: Zreilak
Hash: BE9D9865, Key: SkeletonGenericPrefix005, Value: Odrekar
Hash: BE9D9866, Key: SkeletonGenericPrefix006, Value: Gixius
Hash: BE9D9867, Key: SkeletonGenericPrefix007, Value: Rauffe
Hash: BE9D9868, Key: SkeletonGenericPrefix008, Value: Geoffroi
Hash: BE9D9869, Key: SkeletonGenericPrefix009, Value: Arnaut
Hash: BE9D9881, Key: SkeletonGenericPrefix010, Value: Galeren
Hash: BE9D9882, Key: SkeletonGenericPrefix011, Value: Aleyn
Hash: BE9D9883, Key: SkeletonGenericPrefix012, Value: Zardar
Hash: 7766276C, Key: WildlifeGenericPrefix001, Value: Gorssa
Hash: 7766276D, Key: WildlifeGenericPrefix002, Value: Sapeond
Hash: 7766276E, Key: WildlifeGenericPrefix003, Value: Yentouff
Hash: 7766276F, Key: WildlifeGenericPrefix004, Value: Lacluarm
Hash: 77662770, Key: WildlifeGenericPrefix005, Value: Jrampa
Hash: 77662771, Key: WildlifeGenericPrefix006, Value: Eeclops
Hash: 77662772, Key: WildlifeGenericPrefix007, Value: Theanara
Hash: 77662773, Key: WildlifeGenericPrefix008, Value: Vraitrice
Hash: 77662774, Key: WildlifeGenericPrefix009, Value: Knosr
Hash: 7766278C, Key: WildlifeGenericPrefix010, Value: Teeveja
Hash: F59EE19D, Key: WildlifeQuillratPrefix001, Value: Deathquill
Hash: F59EE19E, Key: WildlifeQuillratPrefix002, Value: Spineshank
Hash: 0A4749D7, Key: WildlifeWoodwraithPrefix001, Value: Treehead
Hash: 0A4749D8, Key: WildlifeWoodwraithPrefix002, Value: Woodfist
Hash: 0A4749D9, Key: WildlifeWoodwraithPrefix003, Value: Treefist
Hash: 0A4749DA, Key: WildlifeWoodwraithPrefix004, Value: Woodhead
Hash: C8745DA3, Key: SpiderGenericPrefix001, Value: Kreqzokaax
Hash: C8745DA4, Key: SpiderGenericPrefix002, Value: Recikrex
Hash: C8745DA5, Key: SpiderGenericPrefix003, Value: Iavaq'zat
Hash: C8745DA6, Key: SpiderGenericPrefix004, Value: Seerrorter
Hash: C8745DA7, Key: SpiderGenericPrefix005, Value: Irk'aq
Hash: C8745DA8, Key: SpiderGenericPrefix006, Value: Krelrichiaq
Hash: C8745DA9, Key: SpiderGenericPrefix007, Value: Zraarzur
Hash: C8745DAA, Key: SpiderGenericPrefix008, Value: Szikees
Hash: C8745DAB, Key: SpiderGenericPrefix009, Value: Yerziq
Hash: C8745DC3, Key: SpiderGenericPrefix010, Value: Szaqilrai
Hash: C8745DC4, Key: SpiderGenericPrefix011, Value: Shix'k
Hash: 41DECEAE, Key: SnakeGenericPrefix001, Value: Thosz
Hash: 41DECEAF, Key: SnakeGenericPrefix002, Value: Ucaontizk
Hash: 41DECEB0, Key: SnakeGenericPrefix003, Value: Utszucci
Hash: 41DECEB1, Key: SnakeGenericPrefix004, Value: Jutrazisk
Hash: 41DECEB2, Key: SnakeGenericPrefix005, Value: Drox
Hash: 41DECEB3, Key: SnakeGenericPrefix006, Value: Uathru
Hash: 41DECEB4, Key: SnakeGenericPrefix007, Value: Akxoazk
Hash: 41DECEB5, Key: SnakeGenericPrefix008, Value: Stigzas
Hash: 41DECEB6, Key: SnakeGenericPrefix009, Value: Czisauc
Hash: F0B037D9, Key: DemonGenericFemalePrefix001, Value: Drenlisa
Hash: F0B037DA, Key: DemonGenericFemalePrefix002, Value: Kylraya
Hash: F0B037DB, Key: DemonGenericFemalePrefix003, Value: Dhysryss
Hash: F0B037DC, Key: DemonGenericFemalePrefix004, Value: Xisvia
Hash: F0B037DD, Key: DemonGenericFemalePrefix005, Value: Tinnixi
Hash: F0B037DE, Key: DemonGenericFemalePrefix006, Value: Qyrlith
Hash: F0B037DF, Key: DemonGenericFemalePrefix007, Value: Lilintarish
Hash: F0B037E0, Key: DemonGenericFemalePrefix008, Value: Charixis
Hash: F0B037E1, Key: DemonGenericFemalePrefix009, Value: Vyoras
Hash: F0B037F9, Key: DemonGenericFemalePrefix010, Value: Alassrix
Hash: F0B037FA, Key: DemonGenericFemalePrefix011, Value: Astroiss
Hash: F0B037FB, Key: DemonGenericFemalePrefix012, Value: Vydyll
Hash: F0B037FC, Key: DemonGenericFemalePrefix013, Value: Vyjuz
Hash: D2FB246E, Key: DemonGenericMalePrefix001, Value: Gnarryd
Hash: D2FB246F, Key: DemonGenericMalePrefix002, Value: Vohrer
Hash: D2FB2470, Key: DemonGenericMalePrefix003, Value: Zahreth
Hash: D2FB2471, Key: DemonGenericMalePrefix004, Value: Dharlyx
Hash: D2FB2472, Key: DemonGenericMalePrefix005, Value: Igararax
Hash: D2FB2473, Key: DemonGenericMalePrefix006, Value: Suryxir
Hash: D2FB2474, Key: DemonGenericMalePrefix007, Value: Az'skaron
Hash: D2FB2475, Key: DemonGenericMalePrefix008, Value: Hegelb
Hash: D2FB2476, Key: DemonGenericMalePrefix009, Value: Gorash
Hash: 025DB328, Key: ChillingWindSuffix007, Value:  Zephyretes
Hash: 025DB329, Key: ChillingWindSuffix008, Value:  Galebringer
Hash: 025DB32A, Key: ChillingWindSuffix009, Value:  Windburn
Hash: 025DB342, Key: ChillingWindSuffix010, Value:  Hazemaw
Hash: 01D89197, Key: ElectricLanceSuffix004, Value:  Shockblade
Hash: 9EE19B45, Key: FireOrbsSuffix004, Value:  Scorchmaw
Hash: 9EE19B46, Key: FireOrbsSuffix005, Value:  Infernostrife
