Hash: D48EE51B, Key: EventJoined, Value: Event Joined
Hash: 0634255B, Key: EventEndingFiveMinWarning, Value: The Helltide will recede in less than {s1}. Any unspent Cinders will be lost.
Hash: EF68089D, Key: EventWarningMinutes, Value: {s1} minutes
Hash: D68879DE, Key: NightmareDungeonTeleport, Value: Select the {s1} map icon to teleport to its entrance.
Hash: 56438C4E, Key: EnterVampzone, Value: Entering The Blood Harvest
Hash: 52C7A888, Key: ExitingVampzone, Value: Exiting The Blood Harvest
Hash: D3FEC6A8, Key: Vampzone_Threat1, Value: The Vampires have taken notice of you
Hash: D3FEC6A9, Key: Vampzone_Threat2, Value: The Vampires see you as a threat
Hash: D3FEC6AA, Key: Vampzone_Threat3, Value: The Vampires are hunting you
Hash: BD20A49F, Key: Vampzone_HarvestersSpawn, Value: Blood Harvesters Emerge
Hash: 2B3D9662, Key: VampzoneStartedNotifyOnly, Value: The Blood Harvest has started in a new zone
Hash: D3FEC6A7, Key: Vampzone_Threat0, Value: The Vampires have lost interest in you
Hash: 79EC02A5, Key: Vampzone_AmbushWarning, Value: A pair of Blood Seekers are on your trail...
Hash: F90BB619, Key: Event_Begins, Value: Event Begins {s1}
Hash: A88D348B, Key: Event_Ends, Value: Event Ends {s1}
Hash: 1FBDA178, Key: Vampzone_Info_Enter, Value: Slay vampires, rescue villagers, and use Blood Lures to draw out powerful Blood Seekers
Hash: D26AC174, Key: Vampzone_Info_Exit, Value: You can return at any point while the Blood Harvest is active
Hash: 8FE6191A, Key: Vampzone_EndingWarning, Value: The Blood Harvest will relocate in {s1}.
Hash: 54C80007, Key: S2_Rep_LevelUp, Value: New Rewards are available at the Hunter Bounty Board
Hash: 4886962F, Key: Hibernal_EndingWarning, Value: Midwinter Blight ends in {s1}.
Hash: C94F4FED, Key: S03_UnearthedMachinations_StewardsApproach, Value: A Herald of Malphas approaches...
Hash: F1683A2A, Key: S03_LNY_Rep_LevelUp, Value: Ying-Yue has New Rewards available
Hash: 2ADA41B0, Key: Helltide_Threat_SeekerAmbush, Value: Hell gives way to their champion.
Hash: A3A911B3, Key: Helltide_Threat_Lost, Value: Hell's hatred is satiated.
Hash: 19588636, Key: Helltide_Threat_Tier1, Value: The forces of Hell grow angry.
Hash: 19588637, Key: Helltide_Threat_Tier2, Value: The forces of Hell grow infuriated.
Hash: 19588638, Key: Helltide_Threat_Tier3, Value: The forces of Hell grow frenzied.
Hash: E6743697, Key: Helltide_Threat_GetBossItem, Value: [ph] The gathered essence of hatred have condensed into a shard
Hash: 2191CD1E, Key: Helltide_SummonActivated, Value: An accursed ritual has been disturbed. A powerful demon is emerging.
Hash: F3861309, Key: S4_Rep_LevelUp, Value: New Rewards are available at the Iron Wolves Encampment
Hash: 47B2F19C, Key: BSK_SlayMiniboss, Value: Defeat the Aether Lord to gain Aether
Hash: 9B16AEBB, Key: BSK_SlayShocktrooper, Value: Slay the Aether Fiend to gain Aether
Hash: 4F65373C, Key: BSK_SlayHellSeeker, Value: Slay the Hellborne to gain Aether
Hash: B572FF8E, Key: BSK_DoKillRing, Value: Slay foes near the Soulspire to gain Aether
Hash: A9F9D1DA, Key: BSK_DestroyStructure, Value: Destroy the Aetheric Mass to gain Aether
Hash: 095980F0, Key: MinionsGrowStronger, Value: The minions of Hell grow stronger
Hash: 5566A814, Key: S05_Hellar_ModeName, Value: Aether
Hash: 4617259D, Key: CitadelWing2, Value: [PH] Citadel Wings
Hash: B078A722, Key: CitadelBossWing, Value: [PH] Citadel Boss Wing2
Hash: 83B582FA, Key: ZoneEvent_BasinTrapped, Value: A Basin is being stopped, slay the enemy that is suppressing it
Hash: C4A77F1F, Key: FlayerAmbushActive, Value: {Param1} is being hunted
Hash: 9244260B, Key: S6_Rep_LevelUp, Value: New Rewards are available from the Zakarum Remnants
Hash: 631EF6DC, Key: SeasonalDungeon_RealmWalker, Value: [PH] Seething Realm
