Hash: 0001AA57, Key: Ago, Value: Ago
Hash: 5EEE38EA, Key: FriendPresenceInfoInGame, Value: Level {s1} {s2} - {s4} - {s3}
Hash: 172C1299, Key: FriendPresenceInfo, Value: Level {s1} {s2} - {s3}
Hash: 3C7C7765, Key: FriendsListMyBattleTag, Value: {s1}{s2}
Hash: CD4623EA, Key: PlayingPVP, Value: Playing PvP
Hash: FB8D1F09, Key: StatusInvisible, Value: Invisible
Hash: 8E10F6D2, Key: StatusIconInvisible, Value: {icon:Icon_Offline,1.5} Appear Offline
Hash: 4004C805, Key: OnlineStatusAppearOffline, Value: Appear Offline
Hash: B40A66C7, Key: FriendOfFriendTitle, Value: Friends of: {c:FF82C5FF}{s1}{/c}
Hash: 9507D335, Key: FriendOfFriendPotential, Value: Potential Friends ({s1})
Hash: A50D3A1F, Key: FriendOfFriendTitleMutual, Value: Mutual Friends ({s1})
Hash: 88F8C358, Key: ChatSelfStatus_AutoAFK, Value: You are now Away: AFK
Hash: 52884ECC, Key: ChatSelfStatus_ReturnFromAutoAFK, Value: You are no longer Away.
Hash: 29E30FC7, Key: FriendsOfFriends_AddFriendButton, Value: Add Friend
Hash: 3318FD94, Key: DialogOptionalMessageHelpLabel_StarterEdition, Value: No custom message allowed for Starter Edition.
Hash: 17025313, Key: Broadcast, Value: Broadcast a message to your friends!
Hash: D539FB65, Key: BroadcastTitleDialog, Value: Broadcast A Message
Hash: FABFE5A8, Key: NoteTitleDialog, Value: Set a Note
Hash: 55821CEC, Key: BroadcastHeaderDialog, Value: Broadcast a message to your friends:
Hash: 2BC54F8F, Key: NoteHeaderDialog, Value: Set a friend note for {c:FF82C5FF}{s1}{/c}:
Hash: 26C9AFAD, Key: BroadcastInpuMessageHelpDialog, Value: Enter Custom Message
Hash: 5B7F89B0, Key: NoteInpuMessageHelpDialog, Value: Enter a note
Hash: 546F389A, Key: BroadcastNoteMessageCharacterLimit, Value: Your message cannot be more than {s1} characters long.
Hash: 647E7F3E, Key: BroadcastMessageTimeAgo, Value: {s1} ago.
Hash: 7F6B34F8, Key: LocalFriendsTitle, Value: Players near you  ({s1})
Hash: 4CA64822, Key: PlayersNearYouDesc, Value: There are other players on your local network playing Diablo IV right now!
Hash: E2930BC5, Key: PlayersNearYouTitle, Value: {s1} |4Player:Players; Near You
Hash: BD8F6B4C, Key: PlayerTooltipIsFriend, Value: {c:FF82C5FF}This player is your friend.{/c}
Hash: 067B6354, Key: PlayerTooltipNotFriends, Value:  {icon:rmb, 1.2} to add this player to your Friends List.
Hash: 806A576D, Key: FriendGuildLabel, Value: Clan: {s1}
Hash: 8272A5FF, Key: CreatingHeroStatus, Value: Creating Character...
Hash: 83DE550E, Key: FriendNoteLabel, Value: Friend Note: {s1}
Hash: EFF0BC14, Key: ClanNoteLabel, Value: Clan Note: {s1}
Hash: 0E0ABA7F, Key: FilterInputHelpLabel, Value: <Filter>
Hash: 2F648457, Key: GuildTitle, Value: Clan  ({s1})
Hash: F2D17DB1, Key: GuildButton, Value: {c_white}{s1}{/c} |4Member:Members; Online
Hash: 29470E79, Key: GuildInvitesTitle, Value: Clan Invites ({s1})
Hash: 15F29FF7, Key: NoClanButton, Value: Find
Hash: FFD29600, Key: NoClanText, Value: You are not currently in a Clan. To find a clan to 
join or to create a clan, begin here.
Hash: FA2775DD, Key: NoClanTitle, Value: Clan
Hash: EAB4E774, Key: OverlayAddGroupButton, Value: Find
Hash: F35C7000, Key: GuildRequestTitle, Value: Clan Requests ({s1})
Hash: EC9E7B5F, Key: OverlayCreateGroupButton, Value: Create
Hash: 33AA00AA, Key: ClanSimpleTitle, Value: Clan
Hash: 4496C668, Key: HeroLevelInfoSeasonal, Value: Level {s1} Seasonal {s2}
Hash: 435009D0, Key: HeroLevelInfoSeasonalHardcore, Value: Level {s1} Hardcore Seasonal {s2}
Hash: DD73DF32, Key: FriendStatusSeasonal, Value: Seasonal
Hash: FDF64C9A, Key: FriendStatusSeasonalHardcore, Value: Seasonal Hardcore
Hash: A188F565, Key: ChatCannotBlockRidFriend, Value: You can't block a friend.
Hash: 46AC9297, Key: PlayerTooltipNoteIcon, Value: {icon:bnet_note, 2.0}
Hash: A4751BC5, Key: PlayerTooltipGuildMember, Value: {c:ff40ff40}This player is in your clan.{/c}
Hash: B4904C50, Key: PlayerTooltipLocalPlayer, Value: This player is on your local network.
Hash: 2010DD0E, Key: AlsoPlayingTooltip, Value: Also Playing:
Hash: DFB263C6, Key: RemoveFriend, Value: Remove Friend
Hash: 3A1DB00F, Key: RemoveFriendConfirmation, Value: Are you sure you want to remove this player from your friend's list?

Hash: 3F6533AB, Key: FriendPresenceInfoInGameAlt, Value: Level {s1} {s2} - {s3}
Hash: 552906E9, Key: StatusOnline, Value: Online
Hash: 073E4DBC, Key: PlayerHeroNameLabel, Value: Character Name: {s1}
Hash: 7DA4B846, Key: FilterHasNoMatchesTitle, Value: No Matches
Hash: FC0CAF49, Key: FilterHasNoMatchesText, Value: Clear the filter to see the full list.
Hash: 0573B1F4, Key: FilterClearButtonTooltip, Value: Clears the filter string.
Hash: E264ABB1, Key: FilterTooltip, Value: Enter text here to filter the player list.

In addition to a normal substring search,
you can specify these exact values matches:

Hardcore
Seasonal
Available, Away, Busy, or Offline
Hash: 7570CF76, Key: RichPresenceInOverworld, Value: {s1}
Hash: A3690282, Key: RichPresenceInDungeon, Value: {s1}
Hash: 58E49515, Key: FriendRequestFrom, Value: {s1} sent you a friend request
Hash: 84B7A561, Key: ClanInviteFrom, Value: You've been invited to join {s1}
Hash: C33B59C8, Key: RichPresenceInPvP, Value: {s1}
Hash: AAF1868D, Key: ProfilePresenceInDungeon, Value: Exploring {s1}
Hash: 812A8241, Key: ProfilePresenceInOverworld, Value: In {s2} - {s1}
Hash: 3AC59053, Key: ProfilePresenceInPvP, Value: PvPing - {s1}
Hash: 99FBF86B, Key: ConfirmLeaveParty, Value: Leaving the party will cause you to be removed from the dungeon. Do you wish to leave the party?
Hash: 903D9D4D, Key: ConfirmLeavePartyTitle, Value: Leave Party
Hash: 46C1D054, Key: FriendComesOnline, Value: {s1} has come online.
Hash: 5A729CE9, Key: FriendGoesOffline, Value: {s1} has gone offline.
Hash: FF5AC4FF, Key: PartyVoiceChatJoined, Value: {s1} joined party voice chat.
Hash: D0FCC7F1, Key: PartyVoiceChatLeft, Value: {s1} left party voice chat.
Hash: 0EF2138D, Key: ClanVoiceChatJoined, Value: {s1} joined clan voice chat.
Hash: D9B31AFF, Key: ClanVoiceChatLeft, Value: {s1} left clan voice chat.
Hash: 0002117D, Key: You, Value: You
Hash: 2BDD7486, Key: PvP_PartyTurnHostile, Value: A party member wants to turn the party hostile.
Hash: 1EDEB90B, Key: PvP_PartyRemoveHostile, Value: A party member wants to remove {c_highlight}Bloodmarked{/c} status from the party.
Hash: A143801A, Key: PartyContentInvite, Value: {s1} is about to start {s2}. Would you like to join them?
Hash: B630B90C, Key: PartyRequiredContent, Value: {s1} is initiating content that requires the full party. You will be teleported to them at the end of the countdown.
Hash: 8BDF6EB2, Key: PartyRequiredContentDetails, Value: Declining this will cause you to leave the party.
Hash: FED9AD34, Key: ClanVoiceChatJoined_LocalSolo, Value: You have joined clan voice chat.
Hash: DB182B26, Key: ClanVoiceChatLeft_LocalSolo, Value: You have left clan voice chat.
Hash: 0DDC5526, Key: PartyVoiceChatJoined_LocalSolo, Value: You have joined party voice chat.
Hash: 9D0C2E98, Key: PartyVoiceChatLeft_LocalSolo, Value: You have left party voice chat.
Hash: 3AFA4C38, Key: LeavePartyAccountNotEligible, Value: Leaving party.
Account is not eligible for multiplayer.
Hash: 87B4F243, Key: GenericInGamePresence, Value: {s1} - {s2}
