Hash: 1885019C, Key: Major_StormbanesWrath, Value: Stormbane's Wrath
Hash: 9D5E3A97, Key: Minor_Monster_LessBurning, Value: Monsters Take Less Burning Damage
Hash: 0BA73604, Key: Minor_Monster_LessCold, Value: Monsters Take Less Cold Damage
Hash: C1F2AC37, Key: Minor_Monster_LessCorruption, Value: Monsters Take Less Corruption Damage
Hash: 0BA8C268, Key: Minor_Monster_LessFire, Value: Monsters Take Less Fire Damage
Hash: 8BA54066, Key: Minor_Monster_LessLightning, Value: Monsters Take Less Lightning Damage
Hash: 5CB883BF, Key: Minor_Monster_LessPhysical, Value: Monsters Take Less Physical Damage
Hash: B71AAC28, Key: Minor_Monster_LessShadow, Value: Monsters Take Less Shadow Damage
Hash: 248408F1, Key: Minor_Monster_ExtraCold, Value: Monsters Deal Extra Cold Damage
Hash: B44E0453, Key: Minor_Monster_LessRanged, Value: Monsters Take Less Distant Damage
Hash: 813D704A, Key: Minor_Monster_LessMelee, Value: Monsters Take Less Close Damage
Hash: AD2DEAB2, Key: Minor_Monster_ChanceSlow, Value: Monster Ranged Attacks Slow Targets
Hash: 295C23A4, Key: Minor_Monster_LifeSteal, Value: Monster Attacks Steal Life
Hash: 8C609CAD, Key: Minor_Monster_ReflectPhysical, Value: Monsters Reflect Physical Damage
Hash: 3B216398, Key: Minor_Monster_Unstoppable, Value: Monsters Unstoppable at Low Life
Hash: BAC16CC1, Key: Minor_Monster_DrainResource, Value: Monster Ranged Attacks Burn Primary Resource
Hash: E96E56A6, Key: Minor_Monster_ReduceDodge, Value: Monster Ranged Attacks Reduce Dodge Chance
Hash: 440471BD, Key: Minor_Monster_SunderArmor, Value: Monster Ranged Attacks Sunder Armor
Hash: 1AC088DB, Key: Minor_Monster_ReduceHealing, Value: Monster Ranged Attacks Disable Healing Potion
Hash: 63A64BF4, Key: Minor_Monster_ReduceResistance, Value: Monster Ranged Attacks Reduce Resistance
Hash: 96EF368D, Key: Minor_Monster_AttackBehind, Value: Monsters Deal More Damage From Behind
Hash: 21F13960, Key: Major_Avenger, Value: Avenger
Hash: 37993EA7, Key: Major_DeathPulse, Value: Death Pulse
Hash: 32EC22DD, Key: Major_Empowered Elites (Suppressor), Value: Empowered Elites (Suppressor)
Hash: 39593458, Key: Minor_Monster_ReflectNonPhysical, Value: Monsters Reflect Non-Physical Damage
Hash: 6B357A75, Key: Minor_Monster_BarrierKiller, Value: Monster Deal More Damage To Barrier
Hash: 14F2017B, Key: Positive_AttackMoveSpeedOnKill, Value: {c_bonus}Attack and Move Speed on Kill{/c}
Hash: B1EB5E15, Key: Positive_DamageReductionForMissingHealth, Value: {c_bonus}Damage Reduction for Missing Health{/c}
Hash: 2968FB17, Key: Positive_FireDamage, Value: {c_bonus}You Deal Extra Fire Damage{/c}
Hash: 7635AEA9, Key: Positive_FireResistance, Value: {c_bonus}You Take Less Fire Damage{/c}
Hash: DEDC64FF, Key: Positive_FrostDamage, Value: {c_bonus}You Deal Extra Frost Damage{/c}
Hash: 299BCC91, Key: Positive_FrostResistance, Value: {c_bonus}You Take Less Frost Damage{/c}
Hash: 31B949AE, Key: Positive_PhysicalDamage, Value: {c_bonus}You Deal Extra Physical Damage{/c}
Hash: B4A970C0, Key: Positive_PhysicalResistance, Value: {c_bonus}You Take Less Physical Damage{/c}
Hash: 663F2AC9, Key: Positive_PoisonDamage, Value: {c_bonus}You Deal Extra Poison Damage{/c}
Hash: 8D20675B, Key: Positive_PoisonResistance, Value: {c_bonus}You Take Less Poison Damage{/c}
Hash: 14BD48D7, Key: Positive_ShadowDamage, Value: {c_bonus}You Deal Extra Shadow Damage{/c}
Hash: 6A7ADC69, Key: Positive_ShadowResistance, Value: {c_bonus}You Take Less Shadow Damage{/c}
Hash: B8D41195, Key: Positive_LightningDamage, Value: {c_bonus}You Deal Extra Lightning Damage{/c}
Hash: 5A23D427, Key: Positive_LightningResistance, Value: {c_bonus}You Take Less Lightning Damage{/c}
Hash: F988362D, Key: Positive_CooldownReductionOnKill, Value: {c_bonus}Reduce Cooldowns on Kill{/c}
Hash: EF887838, Key: Positive_IncreasedHealing, Value: {c_bonus}Increased Healing{/c}
Hash: F604B1B4, Key: Positive_IncreasedCritChance, Value: {c_bonus}Increased Critical Strike Chance{/c}
Hash: 9C796125, Key: Positive_PeriodicLightning, Value: {c_bonus}You Occasionally Call Down Lightning{/c}
Hash: F6DD80AF, Key: Positive_EvadeLeavesPoison, Value: {c_bonus}Evade Leaves a Poison Pool{/c}
Hash: FC6598D5, Key: Positive_StunCausesBurning, Value: {c_bonus}Being Crowd Controlled Causes an Explosion{/c}
Hash: F8F806B9, Key: Positive_GoldFind, Value: {c_bonus}You Find More Gold{/c}
Hash: 805408D0, Key: Positive_Thorns, Value: {c_bonus}You Have Extra Thorns{/c}
Hash: 71D878B4, Key: Positive_MagicFind, Value: {c_bonus}You Find More Items{/c}
Hash: F5CED5F5, Key: Positive_EvadePushesEnemies, Value: {c_bonus}Evade Pushes Enemies{/c}
Hash: DC2F8465, Key: Positive_CCReduction, Value: {c_bonus}Your CC Duration is Reduced{/c}
